Gamma,theta_rad,doppler_delta,delay_over_R_over_c,solid_angle_weight
1.00000000e+01,0.00000000e+00,1.99498744e+01,5.03781526e-03,0.00000000e+00
1.00000000e+01,1.46443515e-03,1.99456290e+01,5.03888754e-03,1.46443462e-03
1.00000000e+01,2.92887029e-03,1.99329037e+01,5.04210440e-03,2.92886611e-03
1.00000000e+01,4.39330544e-03,1.99117310e+01,5.04746581e-03,4.39329131e-03
1.00000000e+01,5.85774059e-03,1.98821647e+01,5.05497177e-03,5.85770709e-03
1.00000000e+01,7.32217573e-03,1.98442798e+01,5.06462227e-03,7.32211030e-03
1.00000000e+01,8.78661088e-03,1.97981718e+01,5.07641728e-03,8.78649782e-03
1.00000000e+01,1.02510460e-02,1.97439563e+01,5.09035677e-03,1.02508665e-02
1.00000000e+01,1.17154812e-02,1.96817680e+01,5.10644072e-03,1.17152132e-02
1.00000000e+01,1.31799163e-02,1.96117602e+01,5.12466910e-03,1.31795347e-02
1.00000000e+01,1.46443515e-02,1.95341038e+01,5.14504186e-03,1.46438280e-02
1.00000000e+01,1.61087866e-02,1.94489859e+01,5.16755896e-03,1.61080899e-02
1.00000000e+01,1.75732218e-02,1.93566095e+01,5.19222035e-03,1.75723173e-02
1.00000000e+01,1.90376569e-02,1.92571913e+01,5.21902598e-03,1.90365069e-02
1.00000000e+01,2.05020921e-02,1.91509614e+01,5.24797579e-03,2.05006558e-02
1.00000000e+01,2.19665272e-02,1.90381614e+01,5.27906972e-03,2.19647607e-02
1.00000000e+01,2.34309623e-02,1.89190437e+01,5.31230770e-03,2.34288184e-02
1.00000000e+01,2.48953975e-02,1.87938695e+01,5.34768966e-03,2.48928260e-02
1.00000000e+01,2.63598326e-02,1.86629079e+01,5.38521553e-03,2.63567801e-02
1.00000000e+01,2.78242678e-02,1.85264346e+01,5.42488522e-03,2.78206777e-02
1.00000000e+01,2.92887029e-02,1.83847305e+01,5.46669866e-03,2.92845157e-02
1.00000000e+01,3.07531381e-02,1.82380802e+01,5.51065574e-03,3.07482908e-02
1.00000000e+01,3.22175732e-02,1.80867712e+01,5.55675638e-03,3.22120000e-02
1.00000000e+01,3.36820084e-02,1.79310924e+01,5.60500048e-03,3.36756401e-02
1.00000000e+01,3.51464435e-02,1.77713329e+01,5.65538793e-03,3.51392081e-02
1.00000000e+01,3.66108787e-02,1.76077811e+01,5.70791862e-03,3.66027006e-02
1.00000000e+01,3.80753138e-02,1.74407235e+01,5.76259245e-03,3.80661147e-02
1.00000000e+01,3.95397490e-02,1.72704439e+01,5.81940930e-03,3.95294471e-02
1.00000000e+01,4.10041841e-02,1.70972222e+01,5.87836903e-03,4.09926947e-02
1.00000000e+01,4.24686192e-02,1.69213340e+01,5.93947154e-03,4.24558544e-02
1.00000000e+01,4.39330544e-02,1.67430493e+01,6.00271668e-03,4.39189231e-02
1.00000000e+01,4.53974895e-02,1.65626324e+01,6.06810432e-03,4.53818976e-02
1.00000000e+01,4.68619247e-02,1.63803408e+01,6.13563433e-03,4.68447748e-02
1.00000000e+01,4.83263598e-02,1.61964249e+01,6.20530654e-03,4.83075515e-02
1.00000000e+01,4.97907950e-02,1.60111274e+01,6.27712083e-03,4.97702246e-02
1.00000000e+01,5.12552301e-02,1.58246831e+01,6.35107702e-03,5.12327910e-02
1.00000000e+01,5.27196653e-02,1.56373184e+01,6.42717497e-03,5.26952475e-02
1.00000000e+01,5.41841004e-02,1.54492510e+01,6.50541451e-03,5.41575910e-02
1.00000000e+01,5.56485356e-02,1.52606898e+01,6.58579548e-03,5.56198183e-02
1.00000000e+01,5.71129707e-02,1.50718346e+01,6.66831769e-03,5.70819264e-02
1.00000000e+01,5.85774059e-02,1.48828765e+01,6.75298097e-03,5.85439120e-02
1.00000000e+01,6.00418410e-02,1.46939969e+01,6.83978515e-03,6.00057721e-02
1.00000000e+01,6.15062762e-02,1.45053684e+01,6.92873004e-03,6.14675036e-02
1.00000000e+01,6.29707113e-02,1.43171544e+01,7.01981543e-03,6.29291031e-02
1.00000000e+01,6.44351464e-02,1.41295094e+01,7.11304115e-03,6.43905678e-02
1.00000000e+01,6.58995816e-02,1.39425787e+01,7.20840699e-03,6.58518943e-02
1.00000000e+01,6.73640167e-02,1.37564990e+01,7.30591274e-03,6.73130796e-02
1.00000000e+01,6.88284519e-02,1.35713985e+01,7.40555820e-03,6.87741206e-02
1.00000000e+01,7.02928870e-02,1.33873968e+01,7.50734314e-03,7.02350141e-02
1.00000000e+01,7.17573222e-02,1.32046053e+01,7.61126737e-03,7.16957569e-02
1.00000000e+01,7.32217573e-02,1.30231276e+01,7.71733064e-03,7.31563460e-02
1.00000000e+01,7.46861925e-02,1.28430594e+01,7.82553274e-03,7.46167782e-02
1.00000000e+01,7.61506276e-02,1.26644890e+01,7.93587343e-03,7.60770504e-02
1.00000000e+01,7.76150628e-02,1.24874975e+01,8.04835247e-03,7.75371594e-02
1.00000000e+01,7.90794979e-02,1.23121592e+01,8.16296963e-03,7.89971022e-02
1.00000000e+01,8.05439331e-02,1.21385415e+01,8.27972466e-03,8.04568755e-02
1.00000000e+01,8.20083682e-02,1.19667057e+01,8.39861730e-03,8.19164763e-02
1.00000000e+01,8.34728033e-02,1.17967068e+01,8.51964730e-03,8.33759014e-02
1.00000000e+01,8.49372385e-02,1.16285942e+01,8.64281441e-03,8.48351477e-02
1.00000000e+01,8.64016736e-02,1.14624116e+01,8.76811836e-03,8.62942121e-02
1.00000000e+01,8.78661088e-02,1.12981976e+01,8.89555888e-03,8.77530914e-02
1.00000000e+01,8.93305439e-02,1.11359856e+01,9.02513569e-03,8.92117825e-02
1.00000000e+01,9.07949791e-02,1.09758048e+01,9.15684852e-03,9.06702823e-02
1.00000000e+01,9.22594142e-02,1.08176793e+01,9.29069709e-03,9.21285876e-02
1.00000000e+01,9.37238494e-02,1.06616295e+01,9.42668111e-03,9.35866954e-02
1.00000000e+01,9.51882845e-02,1.05076717e+01,9.56480029e-03,9.50446025e-02
1.00000000e+01,9.66527197e-02,1.03558185e+01,9.70505432e-03,9.65023057e-02
1.00000000e+01,9.81171548e-02,1.02060791e+01,9.84744292e-03,9.79598020e-02
1.00000000e+01,9.95815900e-02,1.00584593e+01,9.99196577e-03,9.94170882e-02
1.00000000e+01,1.01046025e-01,9.91296212e+00,1.01386226e-02,1.00874161e-01
1.00000000e+01,1.02510460e-01,9.76958750e+00,1.02874130e-02,1.02331018e-01
1.00000000e+01,1.03974895e-01,9.62833294e+00,1.04383367e-02,1.03787655e-01
1.00000000e+01,1.05439331e-01,9.48919345e+00,1.05913935e-02,1.05244070e-01
1.00000000e+01,1.06903766e-01,9.35216178e+00,1.07465829e-02,1.06700259e-01
1.00000000e+01,1.08368201e-01,9.21722863e+00,1.09039046e-02,1.08156219e-01
1.00000000e+01,1.09832636e-01,9.08438278e+00,1.10633583e-02,1.09611947e-01
1.00000000e+01,1.11297071e-01,8.95361124e+00,1.12249436e-02,1.11067440e-01
1.00000000e+01,1.12761506e-01,8.82489941e+00,1.13886603e-02,1.12522695e-01
1.00000000e+01,1.14225941e-01,8.69823124e+00,1.15545079e-02,1.13977708e-01
1.00000000e+01,1.15690377e-01,8.57358931e+00,1.17224861e-02,1.15432477e-01
1.00000000e+01,1.17154812e-01,8.45095502e+00,1.18925945e-02,1.16886999e-01
1.00000000e+01,1.18619247e-01,8.33030867e+00,1.20648328e-02,1.18341270e-01
1.00000000e+01,1.20083682e-01,8.21162954e+00,1.22392006e-02,1.19795287e-01
1.00000000e+01,1.21548117e-01,8.09489608e+00,1.24156976e-02,1.21249047e-01
1.00000000e+01,1.23012552e-01,7.98008591e+00,1.25943232e-02,1.22702547e-01
1.00000000e+01,1.24476987e-01,7.86717601e+00,1.27750773e-02,1.24155785e-01
1.00000000e+01,1.25941423e-01,7.75614270e+00,1.29579593e-02,1.25608755e-01
1.00000000e+01,1.27405858e-01,7.64696183e+00,1.31429689e-02,1.27061457e-01
1.00000000e+01,1.28870293e-01,7.53960875e+00,1.33301057e-02,1.28513886e-01
1.00000000e+01,1.30334728e-01,7.43405846e+00,1.35193693e-02,1.29966039e-01
1.00000000e+01,1.31799163e-01,7.33028564e+00,1.37107592e-02,1.31417913e-01
1.00000000e+01,1.33263598e-01,7.22826472e+00,1.39042752e-02,1.32869506e-01
1.00000000e+01,1.34728033e-01,7.12796991e+00,1.40999166e-02,1.34320814e-01
1.00000000e+01,1.36192469e-01,7.02937530e+00,1.42976833e-02,1.35771834e-01
1.00000000e+01,1.37656904e-01,6.93245487e+00,1.44975746e-02,1.37222562e-01
1.00000000e+01,1.39121339e-01,6.83718254e+00,1.46995902e-02,1.38672997e-01
1.00000000e+01,1.40585774e-01,6.74353224e+00,1.49037297e-02,1.40123134e-01
1.00000000e+01,1.42050209e-01,6.65147791e+00,1.51099925e-02,1.41572970e-01
1.00000000e+01,1.43514644e-01,6.56099353e+00,1.53183784e-02,1.43022503e-01
1.00000000e+01,1.44979079e-01,6.47205322e+00,1.55288867e-02,1.44471729e-01
1.00000000e+01,1.46443515e-01,6.38463118e+00,1.57415172e-02,1.45920645e-01
1.00000000e+01,1.47907950e-01,6.29870178e+00,1.59562692e-02,1.47369248e-01
1.00000000e+01,1.49372385e-01,6.21423956e+00,1.61731424e-02,1.48817535e-01
1.00000000e+01,1.50836820e-01,6.13121923e+00,1.63921363e-02,1.50265504e-01
1.00000000e+01,1.52301255e-01,6.04961574e+00,1.66132505e-02,1.51713149e-01
1.00000000e+01,1.53765690e-01,5.96940428e+00,1.68364843e-02,1.53160470e-01
1.00000000e+01,1.55230126e-01,5.89056025e+00,1.70618374e-02,1.54607462e-01
1.00000000e+01,1.56694561e-01,5.81305936e+00,1.72893094e-02,1.56054122e-01
1.00000000e+01,1.58158996e-01,5.73687754e+00,1.75188996e-02,1.57500448e-01
1.00000000e+01,1.59623431e-01,5.66199107e+00,1.77506076e-02,1.58946436e-01
1.00000000e+01,1.61087866e-01,5.58837646e+00,1.79844329e-02,1.60392083e-01
1.00000000e+01,1.62552301e-01,5.51601059e+00,1.82203750e-02,1.61837386e-01
1.00000000e+01,1.64016736e-01,5.44487060e+00,1.84584334e-02,1.63282342e-01
1.00000000e+01,1.65481172e-01,5.37493397e+00,1.86986076e-02,1.64726948e-01
1.00000000e+01,1.66945607e-01,5.30617852e+00,1.89408971e-02,1.66171201e-01
1.00000000e+01,1.68410042e-01,5.23858237e+00,1.91853014e-02,1.67615097e-01
1.00000000e+01,1.69874477e-01,5.17212399e+00,1.94318198e-02,1.69058634e-01
1.00000000e+01,1.71338912e-01,5.10678218e+00,1.96804520e-02,1.70501808e-01
1.00000000e+01,1.72803347e-01,5.04253607e+00,1.99311973e-02,1.71944617e-01
1.00000000e+01,1.74267782e-01,4.97936515e+00,2.01840553e-02,1.73387057e-01
1.00000000e+01,1.75732218e-01,4.91724922e+00,2.04390254e-02,1.74829125e-01
1.00000000e+01,1.77196653e-01,4.85616845e+00,2.06961070e-02,1.76270818e-01
1.00000000e+01,1.78661088e-01,4.79610331e+00,2.09552995e-02,1.77712133e-01
1.00000000e+01,1.80125523e-01,4.73703465e+00,2.12166026e-02,1.79153067e-01
1.00000000e+01,1.81589958e-01,4.67894363e+00,2.14800154e-02,1.80593617e-01
1.00000000e+01,1.83054393e-01,4.62181176e+00,2.17455376e-02,1.82033779e-01
1.00000000e+01,1.84518828e-01,4.56562085e+00,2.20131686e-02,1.83473551e-01
1.00000000e+01,1.85983264e-01,4.51035309e+00,2.22829077e-02,1.84912930e-01
1.00000000e+01,1.87447699e-01,4.45599096e+00,2.25547544e-02,1.86351912e-01
1.00000000e+01,1.88912134e-01,4.40251727e+00,2.28287081e-02,1.87790494e-01
1.00000000e+01,1.90376569e-01,4.34991517e+00,2.31047682e-02,1.89228674e-01
1.00000000e+01,1.91841004e-01,4.29816810e+00,2.33829341e-02,1.90666448e-01
1.00000000e+01,1.93305439e-01,4.24725984e+00,2.36632053e-02,1.92103813e-01
1.00000000e+01,1.94769874e-01,4.19717447e+00,2.39455811e-02,1.93540766e-01
1.00000000e+01,1.96234310e-01,4.14789637e+00,2.42300609e-02,1.94977304e-01
1.00000000e+01,1.97698745e-01,4.09941023e+00,2.45166441e-02,1.96413423e-01
1.00000000e+01,1.99163180e-01,4.05170103e+00,2.48053301e-02,1.97849122e-01
1.00000000e+01,2.00627615e-01,4.00475406e+00,2.50961183e-02,1.99284396e-01
1.00000000e+01,2.02092050e-01,3.95855487e+00,2.53890080e-02,2.00719243e-01
1.00000000e+01,2.03556485e-01,3.91308934e+00,2.56839987e-02,2.02153659e-01
1.00000000e+01,2.05020921e-01,3.86834358e+00,2.59810897e-02,2.03587642e-01
1.00000000e+01,2.06485356e-01,3.82430402e+00,2.62802803e-02,2.05021189e-01
1.00000000e+01,2.07949791e-01,3.78095732e+00,2.65815699e-02,2.06454295e-01
1.00000000e+01,2.09414226e-01,3.73829045e+00,2.68849579e-02,2.07886959e-01
1.00000000e+01,2.10878661e-01,3.69629061e+00,2.71904437e-02,2.09319177e-01
1.00000000e+01,2.12343096e-01,3.65494527e+00,2.74980264e-02,2.10750946e-01
1.00000000e+01,2.13807531e-01,3.61424214e+00,2.78077056e-02,2.12182263e-01
1.00000000e+01,2.15271967e-01,3.57416921e+00,2.81194805e-02,2.13613125e-01
1.00000000e+01,2.16736402e-01,3.53471468e+00,2.84333505e-02,2.15043529e-01
1.00000000e+01,2.18200837e-01,3.49586701e+00,2.87493149e-02,2.16473472e-01
1.00000000e+01,2.19665272e-01,3.45761488e+00,2.90673730e-02,2.17902951e-01
1.00000000e+01,2.21129707e-01,3.41994722e+00,2.93875242e-02,2.19331962e-01
1.00000000e+01,2.22594142e-01,3.38285316e+00,2.97097677e-02,2.20760503e-01
1.00000000e+01,2.24058577e-01,3.34632208e+00,3.00341028e-02,2.22188570e-01
1.00000000e+01,2.25523013e-01,3.31034356e+00,3.03605289e-02,2.23616161e-01
1.00000000e+01,2.26987448e-01,3.27490740e+00,3.06890453e-02,2.25043273e-01
1.00000000e+01,2.28451883e-01,3.24000359e+00,3.10196513e-02,2.26469901e-01
1.00000000e+01,2.29916318e-01,3.20562236e+00,3.13523460e-02,2.27896044e-01
1.00000000e+01,2.31380753e-01,3.17175411e+00,3.16871290e-02,2.29321699e-01
1.00000000e+01,2.32845188e-01,3.13838945e+00,3.20239993e-02,2.30746861e-01
1.00000000e+01,2.34309623e-01,3.10551917e+00,3.23629564e-02,2.32171529e-01
1.00000000e+01,2.35774059e-01,3.07313428e+00,3.27039994e-02,2.33595699e-01
1.00000000e+01,2.37238494e-01,3.04122593e+00,3.30471276e-02,2.35019368e-01
1.00000000e+01,2.38702929e-01,3.00978549e+00,3.33923404e-02,2.36442532e-01
1.00000000e+01,2.40167364e-01,2.97880448e+00,3.37396369e-02,2.37865190e-01
1.00000000e+01,2.41631799e-01,2.94827461e+00,3.40890164e-02,2.39287338e-01
1.00000000e+01,2.43096234e-01,2.91818775e+00,3.44404782e-02,2.40708972e-01
1.00000000e+01,2.44560669e-01,2.88853594e+00,3.47940215e-02,2.42130090e-01
1.00000000e+01,2.46025105e-01,2.85931138e+00,3.51496456e-02,2.43550689e-01
1.00000000e+01,2.47489540e-01,2.83050643e+00,3.55073496e-02,2.44970766e-01
1.00000000e+01,2.48953975e-01,2.80211362e+00,3.58671329e-02,2.46390317e-01
1.00000000e+01,2.50418410e-01,2.77412560e+00,3.62289947e-02,2.47809340e-01
1.00000000e+01,2.51882845e-01,2.74653520e+00,3.65929341e-02,2.49227832e-01
1.00000000e+01,2.53347280e-01,2.71933538e+00,3.69589504e-02,2.50645789e-01
1.00000000e+01,2.54811715e-01,2.69251926e+00,3.73270428e-02,2.52063208e-01
1.00000000e+01,2.56276151e-01,2.66608006e+00,3.76972106e-02,2.53480087e-01
1.00000000e+01,2.57740586e-01,2.64001119e+00,3.80694528e-02,2.54896422e-01
1.00000000e+01,2.59205021e-01,2.61430615e+00,3.84437689e-02,2.56312211e-01
1.00000000e+01,2.60669456e-01,2.58895860e+00,3.88201578e-02,2.57727450e-01
1.00000000e+01,2.62133891e-01,2.56396231e+00,3.91986189e-02,2.59142136e-01
1.00000000e+01,2.63598326e-01,2.53931119e+00,3.95791512e-02,2.60556267e-01
1.00000000e+01,2.65062762e-01,2.51499925e+00,3.99617541e-02,2.61969838e-01
1.00000000e+01,2.66527197e-01,2.49102064e+00,4.03464266e-02,2.63382848e-01
1.00000000e+01,2.67991632e-01,2.46736963e+00,4.07331680e-02,2.64795293e-01
1.00000000e+01,2.69456067e-01,2.44404058e+00,4.11219774e-02,2.66207170e-01
1.00000000e+01,2.70920502e-01,2.42102799e+00,4.15128540e-02,2.67618477e-01
1.00000000e+01,2.72384937e-01,2.39832646e+00,4.19057970e-02,2.69029209e-01
1.00000000e+01,2.73849372e-01,2.37593068e+00,4.23008054e-02,2.70439364e-01
1.00000000e+01,2.75313808e-01,2.35383548e+00,4.26978785e-02,2.71848940e-01
1.00000000e+01,2.76778243e-01,2.33203577e+00,4.30970154e-02,2.73257932e-01
1.00000000e+01,2.78242678e-01,2.31052656e+00,4.34982152e-02,2.74666339e-01
1.00000000e+01,2.79707113e-01,2.28930296e+00,4.39014772e-02,2.76074156e-01
1.00000000e+01,2.81171548e-01,2.26836018e+00,4.43068004e-02,2.77481381e-01
1.00000000e+01,2.82635983e-01,2.24769352e+00,4.47141839e-02,2.78888012e-01
1.00000000e+01,2.84100418e-01,2.22729839e+00,4.51236269e-02,2.80294044e-01
1.00000000e+01,2.85564854e-01,2.20717026e+00,4.55351285e-02,2.81699475e-01
1.00000000e+01,2.87029289e-01,2.18730472e+00,4.59486878e-02,2.83104302e-01
1.00000000e+01,2.88493724e-01,2.16769741e+00,4.63643040e-02,2.84508521e-01
1.00000000e+01,2.89958159e-01,2.14834408e+00,4.67819761e-02,2.85912131e-01
1.00000000e+01,2.91422594e-01,2.12924057e+00,4.72017032e-02,2.87315127e-01
1.00000000e+01,2.92887029e-01,2.11038278e+00,4.76234845e-02,2.88717508e-01
1.00000000e+01,2.94351464e-01,2.09176669e+00,4.80473190e-02,2.90119269e-01
1.00000000e+01,2.95815900e-01,2.07338837e+00,4.84732059e-02,2.91520408e-01
1.00000000e+01,2.97280335e-01,2.05524397e+00,4.89011442e-02,2.92920921e-01
1.00000000e+01,2.98744770e-01,2.03732968e+00,4.93311330e-02,2.94320807e-01
1.00000000e+01,3.00209205e-01,2.01964181e+00,4.97631714e-02,2.95720061e-01
1.00000000e+01,3.01673640e-01,2.00217671e+00,5.01972584e-02,2.97118682e-01
1.00000000e+01,3.03138075e-01,1.98493080e+00,5.06333931e-02,2.98516665e-01
1.00000000e+01,3.04602510e-01,1.96790058e+00,5.10715747e-02,2.99914007e-01
1.00000000e+01,3.06066946e-01,1.95108262e+00,5.15118020e-02,3.01310707e-01
1.00000000e+01,3.07531381e-01,1.93447353e+00,5.19540743e-02,3.02706760e-01
1.00000000e+01,3.08995816e-01,1.91807001e+00,5.23983906e-02,3.04102165e-01
1.00000000e+01,3.10460251e-01,1.90186881e+00,5.28447498e-02,3.05496917e-01
1.00000000e+01,3.11924686e-01,1.88586675e+00,5.32931511e-02,3.06891014e-01
1.00000000e+01,3.13389121e-01,1.87006069e+00,5.37435934e-02,3.08284452e-01
1.00000000e+01,3.14853556e-01,1.85444757e+00,5.41960759e-02,3.09677230e-01
1.00000000e+01,3.16317992e-01,1.83902438e+00,5.46505976e-02,3.11069343e-01
1.00000000e+01,3.17782427e-01,1.82378817e+00,5.51071574e-02,3.12460790e-01
1.00000000e+01,3.19246862e-01,1.80873602e+00,5.55657544e-02,3.13851566e-01
1.00000000e+01,3.20711297e-01,1.79386510e+00,5.60263876e-02,3.15241669e-01
1.00000000e+01,3.22175732e-01,1.77917262e+00,5.64890560e-02,3.16631097e-01
1.00000000e+01,3.23640167e-01,1.76465582e+00,5.69537586e-02,3.18019845e-01
1.00000000e+01,3.25104603e-01,1.75031202e+00,5.74204945e-02,3.19407911e-01
1.00000000e+01,3.26569038e-01,1.73613857e+00,5.78892626e-02,3.20795292e-01
1.00000000e+01,3.28033473e-01,1.72213288e+00,5.83600620e-02,3.22181985e-01
1.00000000e+01,3.29497908e-01,1.70829240e+00,5.88328916e-02,3.23567987e-01
1.00000000e+01,3.30962343e-01,1.69461463e+00,5.93077503e-02,3.24953296e-01
1.00000000e+01,3.32426778e-01,1.68109712e+00,5.97846373e-02,3.26337907e-01
1.00000000e+01,3.33891213e-01,1.66773745e+00,6.02635514e-02,3.27721818e-01
1.00000000e+01,3.35355649e-01,1.65453326e+00,6.07444916e-02,3.29105027e-01
1.00000000e+01,3.36820084e-01,1.64148221e+00,6.12274570e-02,3.30487530e-01
1.00000000e+01,3.38284519e-01,1.62858204e+00,6.17124464e-02,3.31869324e-01
1.00000000e+01,3.39748954e-01,1.61583048e+00,6.21994588e-02,3.33250407e-01
1.00000000e+01,3.41213389e-01,1.60322535e+00,6.26884933e-02,3.34630775e-01
1.00000000e+01,3.42677824e-01,1.59076448e+00,6.31795486e-02,3.36010425e-01
1.00000000e+01,3.44142259e-01,1.57844573e+00,6.36726239e-02,3.37389354e-01
1.00000000e+01,3.45606695e-01,1.56626704e+00,6.41677179e-02,3.38767560e-01
1.00000000e+01,3.47071130e-01,1.55422634e+00,6.46648297e-02,3.40145040e-01
1.00000000e+01,3.48535565e-01,1.54232162e+00,6.51639583e-02,3.41521790e-01
1.00000000e+01,3.50000000e-01,1.53055090e+00,6.56651024e-02,3.42897807e-01
5.00000000e+01,0.00000000e+00,9.99899990e+01,2.00060020e-04,0.00000000e+00
5.00000000e+01,1.46443515e-03,9.94569281e+01,2.01132305e-04,1.46443462e-03
5.00000000e+01,2.92887029e-03,9.78912829e+01,2.04349158e-04,2.92886611e-03
5.00000000e+01,4.39330544e-03,9.53886164e+01,2.09710571e-04,4.39329131e-03
5.00000000e+01,5.85774059e-03,9.20924429e+01,2.17216533e-04,5.85770709e-03
5.00000000e+01,7.32217573e-03,8.81750041e+01,2.26867029e-04,7.32211030e-03
5.00000000e+01,8.78661088e-03,8.38172734e+01,2.38662037e-04,8.78649782e-03
5.00000000e+01,1.02510460e-02,7.91919234e+01,2.52601532e-04,1.02508665e-02
5.00000000e+01,1.17154812e-02,7.44513654e+01,2.68685485e-04,1.17152132e-02
5.00000000e+01,1.31799163e-02,6.97212788e+01,2.86913860e-04,1.31795347e-02
5.00000000e+01,1.46443515e-02,6.50988360e+01,3.07286619e-04,1.46438280e-02
5.00000000e+01,1.61087866e-02,6.06542624e+01,3.29803717e-04,1.61080899e-02
5.00000000e+01,1.75732218e-02,5.64343309e+01,3.54465108e-04,1.75723173e-02
5.00000000e+01,1.90376569e-02,5.24666576e+01,3.81270737e-04,1.90365069e-02
5.00000000e+01,2.05020921e-02,4.87640156e+01,4.10220548e-04,2.05006558e-02
5.00000000e+01,2.19665272e-02,4.53282234e+01,4.41314477e-04,2.19647607e-02
5.00000000e+01,2.34309623e-02,4.21534033e+01,4.74552460e-04,2.34288184e-02
5.00000000e+01,2.48953975e-02,3.92285759e+01,5.09934423e-04,2.48928260e-02
5.00000000e+01,2.63598326e-02,3.65396386e+01,5.47460292e-04,2.63567801e-02
5.00000000e+01,2.78242678e-02,3.40708219e+01,5.87129986e-04,2.78206777e-02
5.00000000e+01,2.92887029e-02,3.18057246e+01,6.28943419e-04,2.92845157e-02
5.00000000e+01,3.07531381e-02,2.97280224e+01,6.72900503e-04,3.07482908e-02
5.00000000e+01,3.22175732e-02,2.78219324e+01,7.19001143e-04,3.22120000e-02
5.00000000e+01,3.36820084e-02,2.60724996e+01,7.67245239e-04,3.36756401e-02
5.00000000e+01,3.51464435e-02,2.44657552e+01,8.17632689e-04,3.51392081e-02
5.00000000e+01,3.66108787e-02,2.29887876e+01,8.70163385e-04,3.66027006e-02
5.00000000e+01,3.80753138e-02,2.16297538e+01,9.24837214e-04,3.80661147e-02
5.00000000e+01,3.95397490e-02,2.03778521e+01,9.81654058e-04,3.95294471e-02
5.00000000e+01,4.10041841e-02,1.92232712e+01,1.04061380e-03,4.09926947e-02
5.00000000e+01,4.24686192e-02,1.81571256e+01,1.10171630e-03,4.24558544e-02
5.00000000e+01,4.39330544e-02,1.71713848e+01,1.16496144e-03,4.39189231e-02
5.00000000e+01,4.53974895e-02,1.62588012e+01,1.23034908e-03,4.53818976e-02
5.00000000e+01,4.68619247e-02,1.54128389e+01,1.29787909e-03,4.68447748e-02
5.00000000e+01,4.83263598e-02,1.46276057e+01,1.36755130e-03,4.83075515e-02
5.00000000e+01,4.97907950e-02,1.38977904e+01,1.43936559e-03,4.97702246e-02
5.00000000e+01,5.12552301e-02,1.32186039e+01,1.51332178e-03,5.12327910e-02
5.00000000e+01,5.27196653e-02,1.25857260e+01,1.58941973e-03,5.26952475e-02
5.00000000e+01,5.41841004e-02,1.19952568e+01,1.66765927e-03,5.41575910e-02
5.00000000e+01,5.56485356e-02,1.14436732e+01,1.74804024e-03,5.56198183e-02
5.00000000e+01,5.71129707e-02,1.09277895e+01,1.83056245e-03,5.70819264e-02
5.00000000e+01,5.85774059e-02,1.04447224e+01,1.91522574e-03,5.85439120e-02
5.00000000e+01,6.00418410e-02,9.99185930e+00,2.00202991e-03,6.00057721e-02
5.00000000e+01,6.15062762e-02,9.56683038e+00,2.09097480e-03,6.14675036e-02
5.00000000e+01,6.29707113e-02,9.16748367e+00,2.18206019e-03,6.29291031e-02
5.00000000e+01,6.44351464e-02,8.79186264e+00,2.27528591e-03,6.43905678e-02
5.00000000e+01,6.58995816e-02,8.43818634e+00,2.37065175e-03,6.58518943e-02
5.00000000e+01,6.73640167e-02,8.10483173e+00,2.46815750e-03,6.73130796e-02
5.00000000e+01,6.88284519e-02,7.79031785e+00,2.56780296e-03,6.87741206e-02
5.00000000e+01,7.02928870e-02,7.49329181e+00,2.66958791e-03,7.02350141e-02
5.00000000e+01,7.17573222e-02,7.21251621e+00,2.77351213e-03,7.16957569e-02
5.00000000e+01,7.32217573e-02,6.94685792e+00,2.87957540e-03,7.31563460e-02
5.00000000e+01,7.46861925e-02,6.69527808e+00,2.98777750e-03,7.46167782e-02
5.00000000e+01,7.61506276e-02,6.45682313e+00,3.09811819e-03,7.60770504e-02
5.00000000e+01,7.76150628e-02,6.23061684e+00,3.21059723e-03,7.75371594e-02
5.00000000e+01,7.90794979e-02,6.01585307e+00,3.32521439e-03,7.89971022e-02
5.00000000e+01,8.05439331e-02,5.81178935e+00,3.44196942e-03,8.04568755e-02
5.00000000e+01,8.20083682e-02,5.61774112e+00,3.56086206e-03,8.19164763e-02
5.00000000e+01,8.34728033e-02,5.43307648e+00,3.68189207e-03,8.33759014e-02
5.00000000e+01,8.49372385e-02,5.25721159e+00,3.80505917e-03,8.48351477e-02
5.00000000e+01,8.64016736e-02,5.08960638e+00,3.93036312e-03,8.62942121e-02
5.00000000e+01,8.78661088e-02,4.92976077e+00,4.05780364e-03,8.77530914e-02
5.00000000e+01,8.93305439e-02,4.77721130e+00,4.18738045e-03,8.92117825e-02
5.00000000e+01,9.07949791e-02,4.63152794e+00,4.31909328e-03,9.06702823e-02
5.00000000e+01,9.22594142e-02,4.49231134e+00,4.45294185e-03,9.21285876e-02
5.00000000e+01,9.37238494e-02,4.35919031e+00,4.58892587e-03,9.35866954e-02
5.00000000e+01,9.51882845e-02,4.23181946e+00,4.72704505e-03,9.50446025e-02
5.00000000e+01,9.66527197e-02,4.10987713e+00,4.86729908e-03,9.65023057e-02
5.00000000e+01,9.81171548e-02,3.99306353e+00,5.00968768e-03,9.79598020e-02
5.00000000e+01,9.95815900e-02,3.88109897e+00,5.15421054e-03,9.94170882e-02
5.00000000e+01,1.01046025e-01,3.77372229e+00,5.30086733e-03,1.00874161e-01
