theta_obs_over_theta_c,time_s,frequency_hz,reference,candidate,relative
0.5,177827.94100389228,10000000000.0,1.94740325381715e-25,1.9933080165405595e-25,0.02357229435322683
0.5,237137.37056616554,10000000000.0,2.0863052891030663e-25,2.142116973271495e-25,0.02675144642538041
0.5,316227.7660168379,10000000000.0,2.0303134110858692e-25,2.0711068213861927e-25,0.02009217398534835
0.5,421696.5034285822,10000000000.0,1.7769439615614364e-25,1.8022348692614268e-25,0.014232811077377283
0.5,562341.3251903491,10000000000.0,1.524566188943641e-25,1.5377787943513925e-25,0.008666468864107602
0.5,749894.2093324559,10000000000.0,1.3145011291827462e-25,1.3137052697866223e-25,-0.0006054459585125294
0.5,1000000.0,10000000000.0,1.3716732931502891e-25,1.3667766499979601e-25,-0.003569831953994629
0.5,1000.0,100000000000000.0,6.097520459333017e-25,7.256662494927731e-25,0.1901005569928842
0.5,1333.521432163324,100000000000000.0,6.535880083821959e-25,7.178411325822824e-25,0.09830829723931145
0.5,1778.2794100389228,100000000000000.0,7.099021455825265e-25,7.42996471690023e-25,0.046618151971269395
0.5,2371.373705661655,100000000000000.0,7.6608537750133125e-25,7.855605196348031e-25,0.025421634070333043
0.5,3162.2776601683795,100000000000000.0,8.165110550187658e-25,8.0507404327373925e-25,-0.01400717317264455
0.5,4216.965034285822,100000000000000.0,8.514407731005638e-25,7.953119364547702e-25,-0.06592218556952312
0.5,5623.413251903491,100000000000000.0,8.629616899353187e-25,8.016902029935255e-25,-0.07100139862105082
0.5,7498.942093324558,100000000000000.0,8.578811431515733e-25,7.794740760702085e-25,-0.09139618897942325
0.5,10000.0,100000000000000.0,8.269670189335359e-25,7.520123266300287e-25,-0.09063806728371027
0.5,13335.21432163324,100000000000000.0,7.781632790242151e-25,7.322531607016602e-25,-0.05899805292807492
0.5,17782.794100389227,100000000000000.0,7.3039542323486645e-25,7.147907042880162e-25,-0.021364754556837395
0.5,23713.737056616552,100000000000000.0,6.675097005492639e-25,6.641578728020965e-25,-0.005021391815593579
0.5,31622.776601683792,100000000000000.0,5.885296064808001e-25,5.8553278131630595e-25,-0.005092055066548196
0.5,42169.65034285822,100000000000000.0,4.991962007888268e-25,4.9988279242678635e-25,0.0013753943577186067
0.5,56234.13251903491,100000000000000.0,3.980871630669312e-25,3.9930095529845352e-25,0.0030490614722942233
0.5,74989.42093324558,100000000000000.0,2.977042805546961e-25,2.9852650364122965e-25,0.0027618786165974907
0.5,100000.0,100000000000000.0,2.084654754210357e-25,2.081544144498392e-25,-0.0014921462202229785
0.5,133352.1432163324,100000000000000.0,1.331564467762993e-25,1.3330696070855158e-25,0.0011303540751965713
0.5,177827.94100389228,100000000000000.0,7.984705569470052e-26,7.963486263158938e-26,-0.0026574938958610073
0.5,237137.37056616554,100000000000000.0,4.700495245017146e-26,4.6929742211457527e-26,-0.0016000492457397542
0.5,316227.7660168379,100000000000000.0,2.630047108050668e-26,2.6276004433825116e-26,-0.000930274085459315
0.5,421696.5034285822,100000000000000.0,1.538497896954895e-26,1.5336864589245358e-26,-0.0031273608107508233
0.5,562341.3251903491,100000000000000.0,9.213462152024354e-27,9.190161477894694e-27,-0.0025289813693477603
0.5,749894.2093324559,100000000000000.0,5.034756188629617e-27,5.015578246486913e-27,-0.00380911039664944
0.5,1000000.0,100000000000000.0,3.187812416270092e-27,3.1758892304432662e-27,-0.0037402407262020487
0.5,1000.0,1e+17,4.506011720277833e-25,5.093205247129648e-25,0.13031335986307857
0.5,1333.521432163324,1e+17,3.7110495033942613e-25,3.5623185809686737e-25,-0.04007785999339353
0.5,1778.2794100389228,1e+17,2.969794062780708e-25,2.645678556486246e-25,-0.10913736758938186
0.5,2371.373705661655,1e+17,2.304252542157127e-25,2.0495023411848865e-25,-0.1105565454790628
0.5,3162.2776601683795,1e+17,1.7545894816967615e-25,1.541907439355413e-25,-0.12121470267545209
0.5,4216.965034285822,1e+17,1.3100895819071146e-25,1.112463781004277e-25,-0.15084907446951146
0.5,5623.413251903491,1e+17,9.562564539807411e-26,8.277251674288637e-26,-0.13441089575586374
0.5,7498.942093324558,1e+17,6.888388470691795e-26,6.181418660211861e-26,-0.1026321052431779
0.5,10000.0,1e+17,4.87464317490876e-26,4.4990291034844073e-26,-0.07705468030106288
0.5,13335.21432163324,1e+17,3.3731566359967597e-26,3.299733719101692e-26,-0.021766826986785115
0.5,17782.794100389227,1e+17,2.3005212861444803e-26,2.3602897093970704e-26,0.025980382625695242
0.5,23713.737056616552,1e+17,1.5285640962043335e-26,1.5733794559659291e-26,0.029318600294799158
0.5,31622.776601683792,1e+17,9.871302983024332e-27,1.0088958265865727e-26,0.022049296148208164
0.5,42169.65034285822,1e+17,6.213644212222972e-27,6.312170818613867e-27,0.01585649307005399
0.5,56234.13251903491,1e+17,3.760155645926244e-27,3.774859950211762e-27,0.003910557346594956
0.5,74989.42093324558,1e+17,2.1902333450695493e-27,2.196993821984452e-27,0.0030866468772019484
0.5,100000.0,1e+17,1.2428795494957922e-27,1.2417524502936054e-27,-0.0009068450781446469
