theta_obs_over_theta_c,time_s,frequency_hz,uniform,adaptive,relative
0.0,23713.737056616552,100000000000000.0,7.53984771108679e-25,7.53984771108679e-25,0.0
0.0,31622.776601683792,100000000000000.0,6.6870456230865385e-25,6.6870456230865385e-25,0.0
0.0,42169.65034285822,100000000000000.0,5.559742906170272e-25,5.559742906170272e-25,0.0
0.0,56234.13251903491,100000000000000.0,4.285393594287687e-25,4.285393594287687e-25,0.0
0.0,74989.42093324558,100000000000000.0,3.0917019383631004e-25,3.0917019383631004e-25,0.0
0.0,100000.0,100000000000000.0,2.085135746257035e-25,2.085135746257035e-25,0.0
0.0,133352.1432163324,100000000000000.0,1.2554147244017925e-25,1.2554147244017925e-25,0.0
0.0,177827.94100389228,100000000000000.0,7.370368645317384e-26,7.370368645317384e-26,0.0
0.0,237137.37056616554,100000000000000.0,4.339828811717232e-26,4.339828811717232e-26,0.0
0.0,316227.7660168379,100000000000000.0,2.449185708743449e-26,2.449185708743449e-26,0.0
0.0,421696.5034285822,100000000000000.0,1.448858142722186e-26,1.448858142722186e-26,0.0
0.0,562341.3251903491,100000000000000.0,8.85915404331259e-27,8.85915404331259e-27,0.0
0.0,749894.2093324559,100000000000000.0,4.796749284755306e-27,4.796749284755306e-27,0.0
0.0,1000000.0,100000000000000.0,3.1311131003895268e-27,3.1311131003895268e-27,0.0
0.0,1000.0,1e+17,5.03785682112202e-25,5.03785682112202e-25,0.0
0.0,1333.521432163324,1e+17,4.158381641567457e-25,4.158381641567457e-25,0.0
0.0,1778.2794100389228,1e+17,3.727165541325226e-25,3.727165541325226e-25,0.0
0.0,2371.373705661655,1e+17,2.8302447244397917e-25,2.8302447244397917e-25,0.0
0.0,3162.2776601683795,1e+17,2.0302435349216325e-25,2.0302435349216325e-25,0.0
0.0,4216.965034285822,1e+17,1.6096080128953784e-25,1.6096080128953784e-25,0.0
0.0,5623.413251903491,1e+17,1.147004894198742e-25,1.147004894198742e-25,0.0
0.0,7498.942093324558,1e+17,7.994940099470468e-26,7.994940099470468e-26,0.0
0.0,10000.0,1e+17,5.717730663794128e-26,5.717730663794128e-26,0.0
0.0,13335.21432163324,1e+17,3.934912669827312e-26,3.934912669827312e-26,0.0
0.0,17782.794100389227,1e+17,2.630756172051252e-26,2.630756172051252e-26,0.0
0.0,23713.737056616552,1e+17,1.6977351834900777e-26,1.6977351834900777e-26,0.0
0.0,31622.776601683792,1e+17,1.066159127073376e-26,1.066159127073376e-26,0.0
0.0,42169.65034285822,1e+17,6.489041963031023e-27,6.489041963031023e-27,0.0
0.0,56234.13251903491,1e+17,3.752996722154321e-27,3.752996722154321e-27,0.0
0.0,74989.42093324558,1e+17,2.0862297316336838e-27,2.0862297316336838e-27,0.0
0.0,100000.0,1e+17,1.1461765081246758e-27,1.1461765081246758e-27,0.0
0.0,133352.1432163324,1e+17,6.138657686701662e-28,6.138657686701662e-28,0.0
0.0,177827.94100389228,1e+17,3.3309756689437346e-28,3.3309756689437346e-28,0.0
0.0,237137.37056616554,1e+17,1.8510574311348618e-28,1.8510574311348618e-28,0.0
0.0,316227.7660168379,1e+17,1.0008628164416753e-28,1.0008628164416753e-28,0.0
0.0,421696.5034285822,1e+17,5.647440679960114e-29,5.647440679960114e-29,0.0
0.0,562341.3251903491,1e+17,3.3628072540116145e-29,3.3628072540116145e-29,0.0
0.0,749894.2093324559,1e+17,1.766583865952243e-29,1.766583865952243e-29,0.0
0.0,1000000.0,1e+17,1.1302585079659866e-29,1.1302585079659866e-29,0.0
0.5,1000.0,10000000000.0,3.8451151179489034e-26,4.756704013887946e-26,0.23707714020934456
0.5,1333.521432163324,10000000000.0,4.478036803046601e-26,4.9723876477624707e-26,0.11039454708803231
0.5,1778.2794100389228,10000000000.0,5.190229803797678e-26,5.414856150751671e-26,0.04327869004752616
0.5,2371.373705661655,10000000000.0,5.709389524684192e-26,6.030719497031524e-26,0.05628096856206466
0.5,3162.2776601683795,10000000000.0,6.620162528382432e-26,6.605007267120696e-26,-0.0022892581861490013
0.5,4216.965034285822,10000000000.0,7.344469979965785e-26,7.055071602071934e-26,-0.03940357557227003
0.5,5623.413251903491,10000000000.0,8.135654848365492e-26,7.66706898998271e-26,-0.057596575459063826
0.5,7498.942093324558,10000000000.0,8.825054226110097e-26,8.147558575142269e-26,-0.076769573716994
0.5,10000.0,10000000000.0,9.383246001661484e-26,8.604313755618117e-26,-0.0830130901295183
0.5,13335.21432163324,10000000000.0,1.0021556194503344e-25,9.502195317165132e-26,-0.05182437410499907
0.5,17782.794100389227,10000000000.0,1.1407050288145827e-25,1.1129098624061942e-25,-0.024366655451035557
0.5,23713.737056616552,10000000000.0,1.3348464803660718e-25,1.3027754673951933e-25,-0.024025993582485472
0.5,31622.776601683792,10000000000.0,1.536968629071552e-25,1.4914103065412357e-25,-0.029641673661119028
0.5,42169.65034285822,10000000000.0,1.7320749176430776e-25,1.6959299772965945e-25,-0.020868000557197286
0.5,56234.13251903491,10000000000.0,1.8780518424338833e-25,1.8564062791166911e-25,-0.011525540897284414
0.5,74989.42093324558,10000000000.0,1.9410333809874866e-25,1.924564492136908e-25,-0.00848459846795635
0.5,100000.0,10000000000.0,1.923642761496416e-25,1.9314168248099443e-25,0.0040413238201675306
0.5,133352.1432163324,10000000000.0,1.8647516420122798e-25,1.9167497017159704e-25,0.027884710506316468
0.5,177827.94100389228,10000000000.0,1.90297426530788e-25,1.9933080165405595e-25,0.04746977028513033
0.5,237137.37056616554,10000000000.0,2.034147887407633e-25,2.142116973271495e-25,0.053078287243637945
0.5,316227.7660168379,10000000000.0,1.992315684902285e-25,2.0711068213861927e-25,0.03954751602920403
0.5,421696.5034285822,10000000000.0,1.7520504950231708e-25,1.8022348692614268e-25,0.028643223686080077
0.5,562341.3251903491,10000000000.0,1.5073592788833918e-25,1.5377787943513925e-25,0.020180666874943354
0.5,749894.2093324559,10000000000.0,1.3039235347439035e-25,1.3137052697866223e-25,0.007501770450550227
0.5,1000000.0,10000000000.0,1.3650291018274273e-25,1.3667766499979601e-25,0.0012802277755055158
0.5,1000.0,100000000000000.0,5.893070812251246e-25,7.256662494927731e-25,0.2313889865096619
0.5,1333.521432163324,100000000000000.0,6.601657121123366e-25,7.178411325822824e-25,0.08736506518249998
0.5,1778.2794100389228,100000000000000.0,7.271657730351063e-25,7.42996471690023e-25,0.0217704122525475
0.5,2371.373705661655,100000000000000.0,7.554556852313881e-25,7.855605196348031e-25,0.039849901181423064
0.5,3162.2776601683795,100000000000000.0,8.252841510239443e-25,8.0507404327373925e-25,-0.024488665782724683
0.5,4216.965034285822,100000000000000.0,8.51842039186863e-25,7.953119364547702e-25,-0.06636218938672522
0.5,5623.413251903491,100000000000000.0,8.706660017152972e-25,8.016902029935255e-25,-0.07922188139410824
0.5,7498.942093324558,100000000000000.0,8.638924445476747e-25,7.794740760702085e-25,-0.0977186095448106
0.5,10000.0,100000000000000.0,8.306265525867424e-25,7.520123266300287e-25,-0.09464448940609083
0.5,13335.21432163324,100000000000000.0,7.785919447157144e-25,7.322531607016602e-25,-0.05951613592788163
0.5,17782.794100389227,100000000000000.0,7.320593367597813e-25,7.147907042880162e-25,-0.023589115806102567
0.5,23713.737056616552,100000000000000.0,6.70372069934704e-25,6.641578728020965e-25,-0.009269773326345154
0.5,31622.776601683792,100000000000000.0,5.89211830686045e-25,5.8553278131630595e-25,-0.006244018158045761
0.5,42169.65034285822,100000000000000.0,4.998785907720008e-25,4.9988279242678635e-25,8.405350545359624e-06
0.5,56234.13251903491,100000000000000.0,3.9906623167126154e-25,3.9930095529845352e-25,0.0005881821325972592
0.5,74989.42093324558,100000000000000.0,2.9829348496040682e-25,2.9852650364122965e-25,0.0007811725450650453
0.5,100000.0,100000000000000.0,2.088012474818304e-25,2.081544144498392e-25,-0.003097840840474264
0.5,133352.1432163324,100000000000000.0,1.3328767141207728e-25,1.3330696070855158e-25,0.00014471928476167406
0.5,177827.94100389228,100000000000000.0,7.993766909411647e-26,7.963486263158938e-26,-0.0037880321750509705
0.5,237137.37056616554,100000000000000.0,4.704623859997792e-26,4.6929742211457527e-26,-0.0024762104684060704
0.5,316227.7660168379,100000000000000.0,2.633011798634559e-26,2.6276004433825116e-26,-0.002055195975518953
0.5,421696.5034285822,100000000000000.0,1.540041276270922e-26,1.5336864589245358e-26,-0.004126394171573011
0.5,562341.3251903491,100000000000000.0,9.22396568212968e-27,9.190161477894694e-27,-0.0036648232875018394
0.5,749894.2093324559,100000000000000.0,5.040576379260711e-27,5.015578246486913e-27,-0.004959379819469034
0.5,1000000.0,100000000000000.0,3.19177029608072e-27,3.1758892304432662e-27,-0.004975629247804814
