theta_obs_over_theta_c,time_s,frequency_hz,reference,candidate,relative
0.0,2371.373705661655,100000000000000.0,8.857958193105952e-25,9.20345333530365e-25,0.0390039255848591
0.0,3162.2776601683795,100000000000000.0,9.442671196322563e-25,9.121862374147353e-25,-0.033974371817600546
0.0,4216.965034285822,100000000000000.0,9.834932031804257e-25,1.0093658455994998e-24,0.02630688482178334
0.0,5623.413251903491,100000000000000.0,9.954049948705137e-25,9.922753745720398e-25,-0.003144067303862519
0.0,7498.942093324558,100000000000000.0,9.869018327581779e-25,9.901873159609896e-25,0.003329088156244886
0.0,10000.0,100000000000000.0,9.471636032838664e-25,9.556349763102946e-25,0.008943938509733185
0.0,13335.21432163324,100000000000000.0,8.859176607791334e-25,8.904935834229918e-25,0.005165178262541925
0.0,17782.794100389227,100000000000000.0,8.267714285355198e-25,8.278807229520439e-25,0.001341718373709444
0.0,23713.737056616552,100000000000000.0,7.553028445766939e-25,7.53984771108679e-25,-0.0017450926836554137
0.0,31622.776601683792,100000000000000.0,6.660134530593095e-25,6.6870456230865385e-25,0.004040622958864981
0.0,42169.65034285822,100000000000000.0,5.5470341532639885e-25,5.559742906170272e-25,0.002291089716619954
0.0,56234.13251903491,100000000000000.0,4.279966888654385e-25,4.285393594287687e-25,0.0012679316860342293
0.0,74989.42093324558,100000000000000.0,3.08992364327992e-25,3.0917019383631004e-25,0.0005755142484014097
0.0,100000.0,100000000000000.0,2.080647614521889e-25,2.085135746257035e-25,0.0021570840270217495
0.0,133352.1432163324,100000000000000.0,1.2540523019174303e-25,1.2554147244017925e-25,0.0010864159989811828
0.0,177827.94100389228,100000000000000.0,7.362172499758898e-26,7.370368645317384e-26,0.001113278119842409
0.0,237137.37056616554,100000000000000.0,4.334841100564811e-26,4.339828811717232e-26,0.001150609915498535
0.0,316227.7660168379,100000000000000.0,2.447231503685451e-26,2.449185708743449e-26,0.000798537063230409
0.0,421696.5034285822,100000000000000.0,1.4475693446550748e-26,1.448858142722186e-26,0.0008903187069206897
0.0,562341.3251903491,100000000000000.0,8.84937915443118e-27,8.85915404331259e-27,0.001104584707110945
0.0,749894.2093324559,100000000000000.0,4.791633854590432e-27,4.796749284755306e-27,0.0010675753448845526
0.0,1000000.0,100000000000000.0,3.1272541211277694e-27,3.1311131003895268e-27,0.001233983268480232
0.0,1000.0,1e+17,5.489639914559039e-25,5.03785682112202e-25,-0.0822974002791782
0.0,1333.521432163324,1e+17,4.517619854296e-25,4.158381641567457e-25,-0.07951935406582034
0.0,1778.2794100389228,1e+17,3.6083577901868346e-25,3.727165541325226e-25,0.03292571248380538
0.0,2371.373705661655,1e+17,2.790755147433349e-25,2.8302447244397917e-25,0.014150140345619677
0.0,3162.2776601683795,1e+17,2.118996943524546e-25,2.0302435349216325e-25,-0.04188463266742104
0.0,4216.965034285822,1e+17,1.5732449876317874e-25,1.6096080128953784e-25,0.023113390189997363
0.0,5623.413251903491,1e+17,1.1398648599523628e-25,1.147004894198742e-25,0.0062639304861784595
0.0,7498.942093324558,1e+17,8.135629763186265e-26,7.994940099470468e-26,-0.017293026822879476
0.0,10000.0,1e+17,5.690451908457453e-26,5.717730663794128e-26,0.004793776623633672
0.0,13335.21432163324,1e+17,3.8890934053431146e-26,3.934912669827312e-26,0.011781476994419116
0.0,17782.794100389227,1e+17,2.607153080535372e-26,2.630756172051252e-26,0.009053205081088977
0.0,23713.737056616552,1e+17,1.6991009930594957e-26,1.6977351834900777e-26,-0.000803842487878681
0.0,31622.776601683792,1e+17,1.0670781880398437e-26,1.066159127073376e-26,-0.0008612873702872337
0.0,42169.65034285822,1e+17,6.476568171553919e-27,6.489041963031023e-27,0.0019259878297723798
0.0,56234.13251903491,1e+17,3.7572036298892396e-27,3.752996722154321e-27,-0.0011196911717671343
0.0,74989.42093324558,1e+17,2.0921949861287e-27,2.0862297316336838e-27,-0.0028511943363624948
0.0,100000.0,1e+17,1.1443007108461881e-27,1.1461765081246758e-27,0.0016392520433730073
0.0,133352.1432163324,1e+17,6.1347895040336185e-28,6.138657686701662e-28,0.0006305322563229243
0.0,177827.94100389228,1e+17,3.3283702881932035e-28,3.3309756689437346e-28,0.0007827797164796646
0.0,237137.37056616554,1e+17,1.8493696501765504e-28,1.8510574311348618e-28,0.0009126249898987471
0.0,316227.7660168379,1e+17,1.0002784992069251e-28,1.0008628164416753e-28,0.0005841545481719557
0.0,421696.5034285822,1e+17,5.643741287188873e-29,5.647440679960114e-29,0.000655485888348295
0.0,562341.3251903491,1e+17,3.359623786380077e-29,3.3628072540116145e-29,0.0009475667020941714
0.0,749894.2093324559,1e+17,1.7649806739810023e-29,1.766583865952243e-29,0.0009083340089071079
0.0,1000000.0,1e+17,1.1290153116924106e-29,1.1302585079659866e-29,0.0011011332270707275
0.5,1000.0,10000000000.0,3.9689748143219805e-26,4.023623716764199e-26,0.013769022228364625
0.5,1333.521432163324,10000000000.0,4.450346464636544e-26,4.641431733109542e-26,0.04293716680069859
0.5,1778.2794100389228,10000000000.0,5.075215699637535e-26,5.226829998735604e-26,0.029873469044654932
0.5,2371.373705661655,10000000000.0,5.778389603393242e-26,5.83853258922788e-26,0.010408260772053257
0.5,3162.2776601683795,10000000000.0,6.552823735924233e-26,6.625156893943584e-26,0.011038471494785096
0.5,4216.965034285822,10000000000.0,7.340168191553471e-26,7.360839929444678e-26,0.0028162485316063357
0.5,5623.413251903491,10000000000.0,8.064712802882897e-26,8.031876483074394e-26,-0.004071604359768943
0.5,7498.942093324558,10000000000.0,8.761732015511745e-26,8.676834618175351e-26,-0.009689567905762475
0.5,10000.0,10000000000.0,9.330697709077165e-26,9.284122748381819e-26,-0.004991583925180287
0.5,13335.21432163324,10000000000.0,1.0004416176510568e-25,9.987942171923335e-26,-0.0016466732587467892
0.5,17782.794100389227,10000000000.0,1.1381207695804245e-25,1.1426181466928054e-25,0.003951581618213407
0.5,23713.737056616552,10000000000.0,1.3271410990451522e-25,1.326512706498647e-25,-0.0004734933964122279
0.5,31622.776601683792,10000000000.0,1.5329573136358186e-25,1.5345695675378719e-25,0.0010517278515924655
0.5,42169.65034285822,10000000000.0,1.7262921895461925e-25,1.7275043042862221e-25,0.000702149234857119
0.5,56234.13251903491,10000000000.0,1.868732843427598e-25,1.868637420530678e-25,-5.106288855327712e-05
0.5,74989.42093324558,10000000000.0,1.933200314088308e-25,1.9324190521475607e-25,-0.00040412880913265337
0.5,100000.0,10000000000.0,1.9279694780947108e-25,1.925934286305915e-25,-0.0010556141121108586
0.5,133352.1432163324,10000000000.0,1.8886434824612212e-25,1.8867301103613653e-25,-0.0010130933220717786
0.5,177827.94100389228,10000000000.0,1.94740325381715e-25,1.945369555686576e-25,-0.0010443127927344253
0.5,237137.37056616554,10000000000.0,2.0863052891030663e-25,2.0854204024819697e-25,-0.0004241405252234376
0.5,316227.7660168379,10000000000.0,2.0303134110858692e-25,2.0304548641592638e-25,6.967056052631371e-05
0.5,421696.5034285822,10000000000.0,1.7769439615614364e-25,1.776574643886572e-25,-0.00020783867294260627
0.5,562341.3251903491,10000000000.0,1.524566188943641e-25,1.5174957454095214e-25,-0.004637675678101361
0.5,749894.2093324559,10000000000.0,1.3145011291827462e-25,1.2988827421006527e-25,-0.011881607961648388
0.5,1000000.0,10000000000.0,1.3716732931502891e-25,1.3569065486317132e-25,-0.01076549685141237
0.5,1000.0,100000000000000.0,6.097520459333017e-25,6.209938271621814e-25,0.01843664372076481
0.5,1333.521432163324,100000000000000.0,6.535880083821959e-25,6.86088410562202e-25,0.049726129860389046
0.5,1778.2794100389228,100000000000000.0,7.099021455825265e-25,7.33490989779522e-25,0.03322830384973563
0.5,2371.373705661655,100000000000000.0,7.6608537750133125e-25,7.736895027948548e-25,0.009925950183679477
0.5,3162.2776601683795,100000000000000.0,8.165110550187658e-25,8.241274792996486e-25,0.009328011218057153
