solver,component,band,frequency_hz,time_s,flux_mjy
fullhide_1d,total,R band,4.560000000000e+14,2.636650898730e-01,7.981601575967e-28
fullhide_1d,total,R band,4.560000000000e+14,3.200834046600e-01,1.487164519340e-27
fullhide_1d,total,R band,4.560000000000e+14,3.885739518571e-01,2.814096374685e-27
fullhide_1d,total,R band,4.560000000000e+14,4.717199138213e-01,5.361231682552e-27
fullhide_1d,total,R band,4.560000000000e+14,5.726572150092e-01,1.022614932340e-26
fullhide_1d,total,R band,4.560000000000e+14,6.951927961776e-01,1.930211650459e-26
fullhide_1d,total,R band,4.560000000000e+14,8.439481965654e-01,3.552729230551e-26
fullhide_1d,total,R band,4.560000000000e+14,1.024533859387e+00,6.288718237327e-26
fullhide_1d,total,R band,4.560000000000e+14,1.243760734726e+00,1.056244470733e-25
fullhide_1d,total,R band,4.560000000000e+14,1.509897160618e+00,1.669609482890e-25
fullhide_1d,total,R band,4.560000000000e+14,1.832980710832e+00,2.478066542566e-25
fullhide_1d,total,R band,4.560000000000e+14,2.225196770956e+00,3.446826250870e-25
fullhide_1d,total,R band,4.560000000000e+14,2.701338121133e+00,4.524834589321e-25
fullhide_1d,total,R band,4.560000000000e+14,3.279362859021e+00,5.658770610841e-25
fullhide_1d,total,R band,4.560000000000e+14,3.981071705535e+00,6.798870285260e-25
fullhide_1d,total,R band,4.560000000000e+14,4.832930238572e+00,7.910212534117e-25
fullhide_1d,total,R band,4.560000000000e+14,5.867067065993e+00,8.977233817755e-25
fullhide_1d,total,R band,4.560000000000e+14,7.122485584860e+00,9.987696233072e-25
fullhide_1d,total,R band,4.560000000000e+14,8.646535029500e+00,1.092445460578e-24
fullhide_1d,total,R band,4.560000000000e+14,1.049669629031e+01,1.178645375123e-24
fullhide_1d,total,R band,4.560000000000e+14,1.274274985703e+01,1.258486633641e-24
fullhide_1d,total,R band,4.560000000000e+14,1.546940765246e+01,1.330335918898e-24
fullhide_1d,total,R band,4.560000000000e+14,1.877950801851e+01,1.395105445540e-24
fullhide_1d,total,R band,4.560000000000e+14,2.279789435644e+01,1.450125587645e-24
fullhide_1d,total,R band,4.560000000000e+14,2.767612370754e+01,1.493308841033e-24
fullhide_1d,total,R band,4.560000000000e+14,3.359818286284e+01,1.523412462328e-24
fullhide_1d,total,R band,4.560000000000e+14,4.078742758969e+01,1.544433976462e-24
fullhide_1d,total,R band,4.560000000000e+14,4.951500669473e+01,1.559481269957e-24
fullhide_1d,total,R band,4.560000000000e+14,6.011008864406e+01,1.575751925014e-24
fullhide_1d,total,R band,4.560000000000e+14,7.297227644686e+01,1.599690476156e-24
fullhide_1d,total,R band,4.560000000000e+14,8.858667904101e+01,1.635700199665e-24
fullhide_1d,total,R band,4.560000000000e+14,1.075422076113e+02,1.688313790881e-24
fullhide_1d,total,R band,4.560000000000e+14,1.305537869023e+02,1.759195815081e-24
fullhide_1d,total,R band,4.560000000000e+14,1.584893192461e+02,1.846820400660e-24
fullhide_1d,total,R band,4.560000000000e+14,1.924024182760e+02,1.958847984973e-24
fullhide_1d,total,R band,4.560000000000e+14,2.335721469090e+02,2.091416116215e-24
fullhide_1d,total,R band,4.560000000000e+14,2.835512583497e+02,2.244064120387e-24
fullhide_1d,total,R band,4.560000000000e+14,3.442247595686e+02,2.414983334600e-24
fullhide_1d,total,R band,4.560000000000e+14,4.178810060294e+02,2.602862899050e-24
fullhide_1d,total,R band,4.560000000000e+14,5.072980090654e+02,2.799166020532e-24
fullhide_1d,total,R band,4.560000000000e+14,6.158482110660e+02,2.997356901205e-24
fullhide_1d,total,R band,4.560000000000e+14,7.476256801638e+02,3.190378462736e-24
fullhide_1d,total,R band,4.560000000000e+14,9.076005216818e+02,3.382542304779e-24
fullhide_1d,total,R band,4.560000000000e+14,1.101806330110e+03,3.589358970727e-24
fullhide_1d,total,R band,4.560000000000e+14,1.337567751526e+03,3.820704858786e-24
fullhide_1d,total,R band,4.560000000000e+14,1.623776739189e+03,4.065904550345e-24
fullhide_1d,total,R band,4.560000000000e+14,1.971227921518e+03,4.299686765033e-24
fullhide_1d,total,R band,4.560000000000e+14,2.393025731180e+03,4.491870612189e-24
fullhide_1d,total,R band,4.560000000000e+14,2.905078650511e+03,4.617482387133e-24
fullhide_1d,total,R band,4.560000000000e+14,3.526699214175e+03,4.658691998428e-24
fullhide_1d,total,R band,4.560000000000e+14,4.281332398719e+03,4.619773006655e-24
fullhide_1d,total,R band,4.560000000000e+14,5.197439870872e+03,4.506511941394e-24
fullhide_1d,total,R band,4.560000000000e+14,6.309573444802e+03,4.190662047933e-24
fullhide_1d,total,R band,4.560000000000e+14,7.659678234752e+03,3.714416502657e-24
fullhide_1d,total,R band,4.560000000000e+14,9.298674652605e+03,3.289285654820e-24
fullhide_1d,total,R band,4.560000000000e+14,1.128837891685e+04,2.883375707618e-24
fullhide_1d,total,R band,4.560000000000e+14,1.370383450663e+04,2.460484707892e-24
fullhide_1d,total,R band,4.560000000000e+14,1.663614249384e+04,2.018062899042e-24
fullhide_1d,total,R band,4.560000000000e+14,2.019589750164e+04,1.611720566537e-24
fullhide_1d,total,R band,4.560000000000e+14,2.451735887979e+04,1.310480829239e-24
fullhide_1d,total,R band,4.560000000000e+14,2.976351441631e+04,1.007443226880e-24
fullhide_1d,total,R band,4.560000000000e+14,3.613222756796e+04,6.982374454904e-25
fullhide_1d,total,R band,4.560000000000e+14,4.386370005780e+04,4.638413716586e-25
fullhide_1d,total,R band,4.560000000000e+14,5.324953129838e+04,3.066646728537e-25
fullhide_1d,total,R band,4.560000000000e+14,6.464371632490e+04,2.037151200298e-25
fullhide_1d,total,R band,4.560000000000e+14,7.847599703515e+04,1.363485337936e-25
fullhide_1d,total,R band,4.560000000000e+14,9.526807029020e+04,9.217946002939e-26
fullhide_1d,total,R band,4.560000000000e+14,1.156532641790e+05,6.277604964241e-26
fullhide_1d,total,R band,4.560000000000e+14,1.404004245548e+05,4.294096365484e-26
fullhide_1d,total,R band,4.560000000000e+14,1.704429127453e+05,2.922803610173e-26
fullhide_1d,total,R band,4.560000000000e+14,2.069138081115e+05,1.964087629444e-26
fullhide_1d,total,R band,4.560000000000e+14,2.511886431510e+05,1.306614329212e-26
fullhide_1d,total,R band,4.560000000000e+14,3.049372829387e+05,8.673203568632e-27
fullhide_1d,total,R band,4.560000000000e+14,3.701869055846e+05,5.757187494846e-27
fullhide_1d,total,R band,4.560000000000e+14,4.493984590722e+05,3.809387475903e-27
fullhide_1d,total,R band,4.560000000000e+14,5.455594781169e+05,2.505347609055e-27
fullhide_1d,total,R band,4.560000000000e+14,6.622967617148e+05,1.642424015718e-27
fullhide_1d,total,R band,4.560000000000e+14,8.040131611168e+05,1.098969382740e-27
