scenario,solver,band,nu_hz,t_obs_s,flux_density
ISM,fullhide_1d,1keV,2.41798900e+17,1.12365480e+03,3.78052984e-25
ISM,fullhide_1d,1keV,2.41798900e+17,1.26260011e+03,3.34335770e-25
ISM,fullhide_1d,1keV,2.41798900e+17,1.41872667e+03,2.95152308e-25
ISM,fullhide_1d,1keV,2.41798900e+17,1.59415904e+03,2.60280537e-25
ISM,fullhide_1d,1keV,2.41798900e+17,1.79128445e+03,2.29290879e-25
ISM,fullhide_1d,1keV,2.41798900e+17,2.01278538e+03,2.01826077e-25
ISM,fullhide_1d,1keV,2.41798900e+17,2.26167595e+03,1.77514666e-25
ISM,fullhide_1d,1keV,2.41798900e+17,2.54134304e+03,1.56059972e-25
ISM,fullhide_1d,1keV,2.41798900e+17,2.85559230e+03,1.37096786e-25
ISM,fullhide_1d,1keV,2.41798900e+17,3.20870000e+03,1.20402951e-25
ISM,fullhide_1d,1keV,2.41798900e+17,3.60547115e+03,1.05661430e-25
ISM,fullhide_1d,1keV,2.41798900e+17,4.05130497e+03,9.26893463e-26
ISM,fullhide_1d,1keV,2.41798900e+17,4.55226828e+03,8.12304820e-26
ISM,fullhide_1d,1keV,2.41798900e+17,5.11517810e+03,7.11886549e-26
ISM,fullhide_1d,1keV,2.41798900e+17,5.74769442e+03,6.23476710e-26
ISM,fullhide_1d,1keV,2.41798900e+17,6.45842443e+03,5.45999155e-26
ISM,fullhide_1d,1keV,2.41798900e+17,7.25703961e+03,4.77878844e-26
ISM,fullhide_1d,1keV,2.41798900e+17,8.15440740e+03,4.18189142e-26
ISM,fullhide_1d,1keV,2.41798900e+17,9.16273901e+03,3.65702988e-26
ISM,fullhide_1d,1keV,2.41798900e+17,1.02957557e+04,3.19712074e-26
ISM,fullhide_1d,1keV,2.41798900e+17,1.15688753e+04,2.79223077e-26
ISM,fullhide_1d,1keV,2.41798900e+17,1.29994222e+04,2.43623061e-26
ISM,fullhide_1d,1keV,2.41798900e+17,1.46068632e+04,2.12118389e-26
ISM,fullhide_1d,1keV,2.41798900e+17,1.64130720e+04,1.84282017e-26
ISM,fullhide_1d,1keV,2.41798900e+17,1.84426271e+04,1.59476419e-26
ISM,fullhide_1d,1keV,2.41798900e+17,2.07231465e+04,1.37284285e-26
ISM,fullhide_1d,1keV,2.41798900e+17,2.32856630e+04,1.17228741e-26
ISM,fullhide_1d,1keV,2.41798900e+17,2.61650470e+04,9.90776634e-27
ISM,fullhide_1d,1keV,2.41798900e+17,2.94004806e+04,8.26402313e-27
ISM,fullhide_1d,1keV,2.41798900e+17,3.30359912e+04,6.79440123e-27
ISM,fullhide_1d,1keV,2.41798900e+17,3.71210501e+04,5.50061002e-27
ISM,fullhide_1d,1keV,2.41798900e+17,4.17112461e+04,4.39115687e-27
ISM,fullhide_1d,1keV,2.41798900e+17,4.68690419e+04,3.46029196e-27
ISM,fullhide_1d,1keV,2.41798900e+17,5.26646239e+04,2.70032544e-27
ISM,fullhide_1d,1keV,2.41798900e+17,5.91768575e+04,2.09162891e-27
ISM,fullhide_1d,1keV,2.41798900e+17,6.64943600e+04,1.61332744e-27
ISM,fullhide_1d,1keV,2.41798900e+17,7.47167068e+04,1.24050136e-27
ISM,fullhide_1d,1keV,2.41798900e+17,8.39557862e+04,9.53388716e-28
ISM,fullhide_1d,1keV,2.41798900e+17,9.43373222e+04,7.32300257e-28
ISM,fullhide_1d,1keV,2.41798900e+17,1.06002585e+05,5.63380444e-28
ISM,fullhide_1d,1keV,2.41798900e+17,1.19110313e+05,4.33557901e-28
ISM,fullhide_1d,1keV,2.41798900e+17,1.33838875e+05,3.34475075e-28
ISM,fullhide_1d,1keV,2.41798900e+17,1.50388695e+05,2.58270532e-28
ISM,fullhide_1d,1keV,2.41798900e+17,1.68984979e+05,1.99994775e-28
ISM,fullhide_1d,1keV,2.41798900e+17,1.89880782e+05,1.54872869e-28
ISM,fullhide_1d,1keV,2.41798900e+17,2.13360453e+05,1.20266541e-28
ISM,fullhide_1d,1keV,2.41798900e+17,2.39743497e+05,9.35261406e-29
ISM,fullhide_1d,1keV,2.41798900e+17,2.69388931e+05,7.29879088e-29
ISM,fullhide_1d,1keV,2.41798900e+17,3.02700165e+05,5.68521318e-29
ISM,fullhide_1d,1keV,2.41798900e+17,3.40130494e+05,4.45628556e-29
ISM,fullhide_1d,1keV,2.41798900e+17,3.82189262e+05,3.48437918e-29
ISM,fullhide_1d,1keV,2.41798900e+17,4.29448799e+05,2.73617815e-29
