raw_index,r_cm,rho_g_cm3,proton_equivalent_n_cm3,nH_X033_cm3,nH_ambientnorm_cm3,velocity_cm_s,temperature_K,wind1,shell_mass_g
1175,1.945773925781e+17,1.251910039013e-22,7.484716188887e+01,2.469956342332e+01,5.354619499626e+01,1.800023844493e+08,6.639989198897e+02,1.000000000000e+00,9.859104972251e+27
1176,1.947429199219e+17,1.249782810230e-22,7.471998259313e+01,2.465759425573e+01,5.345521001839e+01,1.800023850183e+08,6.636812914823e+02,1.000000000000e+00,9.859105450454e+27
1177,1.949084472656e+17,1.247661003589e-22,7.459312746759e+01,2.461573206430e+01,5.336445695417e+01,1.800023855857e+08,6.633638011699e+02,1.000000000000e+00,9.859105966612e+27
1178,1.950739746094e+17,1.245544390315e-22,7.446658283464e+01,2.457397233543e+01,5.327392601860e+01,1.800023861523e+08,6.630472393637e+02,1.000000000000e+00,9.859104855545e+27
1179,1.952395019531e+17,1.243433409514e-22,7.434037494683e+01,2.453232373245e+01,5.318363599289e+01,1.800023867182e+08,6.627304556295e+02,1.000000000000e+00,9.859105735708e+27
1180,1.954050292969e+17,1.241327595786e-22,7.421447597957e+01,2.449077707326e+01,5.309356697118e+01,1.800023872834e+08,6.624145374899e+02,1.000000000000e+00,9.859105065620e+27
1181,1.955705566406e+17,1.239227126832e-22,7.408889655698e+01,2.444933586380e+01,5.300372655396e+01,1.800023878482e+08,6.620987926437e+02,1.000000000000e+00,9.859104395515e+27
1182,1.957360839844e+17,1.237132172276e-22,7.396364682024e+01,2.440800345068e+01,5.291412199640e+01,1.800023884125e+08,6.617832141423e+02,1.000000000000e+00,9.859105221220e+27
1183,1.959016113281e+17,1.235042251172e-22,7.383869801535e+01,2.436677034507e+01,5.282473272763e+01,1.800023889767e+08,6.614684425498e+02,1.000000000000e+00,9.859103854676e+27
1184,1.960671386719e+17,1.232957844186e-22,7.371407887958e+01,2.432564603026e+01,5.273557930650e+01,1.800023895407e+08,6.611537810348e+02,1.000000000000e+00,9.859104271589e+27
1185,1.962326660156e+17,1.230878688184e-22,7.358977368110e+01,2.428462531477e+01,5.264665047837e+01,1.800023901048e+08,6.608395557682e+02,1.000000000000e+00,9.859104516284e+27
1186,1.963981933594e+17,1.228804616297e-22,7.346577244343e+01,2.424370490632e+01,5.255793910593e+01,1.800023906689e+08,6.605258994382e+02,1.000000000000e+00,9.859103391589e+27
1187,1.965637207031e+17,1.226736082376e-22,7.334210230066e+01,2.420289375922e+01,5.246946460119e+01,1.800023912330e+08,6.602122179842e+02,1.000000000000e+00,9.859104680322e+27
1188,1.967292480469e+17,1.224672523759e-22,7.321872961328e+01,2.416218077239e+01,5.238120289817e+01,1.800023917974e+08,6.598995416383e+02,1.000000000000e+00,9.859104006872e+27
1189,1.968947753906e+17,1.222614228803e-22,7.309567162110e+01,2.412157163496e+01,5.229316633032e+01,1.800023923620e+08,6.595866986961e+02,1.000000000000e+00,9.859103828089e+27
1190,1.970603027344e+17,1.220561281501e-22,7.297293334577e+01,2.408106800410e+01,5.220535849019e+01,1.800023929271e+08,6.592746572504e+02,1.000000000000e+00,9.859104966057e+27
1191,1.972258300781e+17,1.218513192430e-22,7.285048552645e+01,2.404066022373e+01,5.211775844439e+01,1.800023934928e+08,6.589627575599e+02,1.000000000000e+00,9.859103608226e+27
1192,1.973913574219e+17,1.216470528008e-22,7.272836202723e+01,2.400035946899e+01,5.203039041952e+01,1.800023940595e+08,6.586515431043e+02,1.000000000000e+00,9.859104473051e+27
1193,1.975568847656e+17,1.214432899490e-22,7.260653960644e+01,2.396015807013e+01,5.194323778829e+01,1.800023946275e+08,6.583403337829e+02,1.000000000000e+00,9.859104555855e+27
1194,1.977224121094e+17,1.212400238976e-22,7.248501420460e+01,2.392005468752e+01,5.185629764655e+01,1.800023951971e+08,6.580299036501e+02,1.000000000000e+00,9.859103440250e+27
1195,1.978879394531e+17,1.210372990213e-22,7.236381235173e+01,2.388005807608e+01,5.176958897405e+01,1.800023957651e+08,6.577192606495e+02,1.000000000000e+00,9.859104874113e+27
1196,1.980534667969e+17,1.208350518491e-22,7.224289610083e+01,2.384015571328e+01,5.168308462324e+01,1.800023963297e+08,6.574095517477e+02,1.000000000000e+00,9.859103830578e+27
1197,1.982189941406e+17,1.206333240805e-22,7.212229038250e+01,2.380035582622e+01,5.159680242963e+01,1.800023968916e+08,6.570998118080e+02,1.000000000000e+00,9.859103843862e+27
1198,1.983845214844e+17,1.204321138952e-22,7.200199410845e+01,2.376065805580e+01,5.151074161472e+01,1.800023974512e+08,6.567907270152e+02,1.000000000000e+00,9.859104908582e+27
1199,1.985500488281e+17,1.202313749648e-22,7.188197958063e+01,2.372105326161e+01,5.142488236305e+01,1.800023980096e+08,6.564820363229e+02,1.000000000000e+00,9.859103368973e+27
1200,1.987155761719e+17,1.200311707118e-22,7.176228471704e+01,2.368155395663e+01,5.133925180146e+01,1.800023985669e+08,6.561736366920e+02,1.000000000000e+00,9.859104559006e+27
1201,1.988811035156e+17,1.198314496598e-22,7.164287874180e+01,2.364214998480e+01,5.125382791267e+01,1.800023991227e+08,6.558655741698e+02,1.000000000000e+00,9.859104394412e+27
1202,1.990466308594e+17,1.196322159437e-22,7.152376412703e+01,2.360284216192e+01,5.116861246524e+01,1.800023996770e+08,6.555580164235e+02,1.000000000000e+00,9.859103346105e+27
1203,1.992121582031e+17,1.194335106125e-22,7.140496541443e+01,2.356363858676e+01,5.108362301647e+01,1.800024002291e+08,6.552504654125e+02,1.000000000000e+00,9.859104934815e+27
1204,1.993776855469e+17,1.192352638379e-22,7.128644085619e+01,2.352452548255e+01,5.099882969971e+01,1.800024007800e+08,6.549438338229e+02,1.000000000000e+00,9.859103536129e+27
1205,1.995432128906e+17,1.190375302725e-22,7.116822312713e+01,2.348551363195e+01,5.091425589071e+01,1.800024013307e+08,6.546373844243e+02,1.000000000000e+00,9.859103797560e+27
1206,1.997087402344e+17,1.188402966455e-22,7.105030429311e+01,2.344660041673e+01,5.082989591340e+01,1.800024018804e+08,6.543312168644e+02,1.000000000000e+00,9.859104762020e+27
1207,1.998742675781e+17,1.186435207964e-22,7.093265914790e+01,2.340777751880e+01,5.074573173497e+01,1.800024024292e+08,6.540256438049e+02,1.000000000000e+00,9.859103064742e+27
1208,2.000397949219e+17,1.184472728656e-22,7.081532962589e+01,2.336905877655e+01,5.066179335571e+01,1.800024029770e+08,6.537202120199e+02,1.000000000000e+00,9.859104665627e+27
1209,2.002053222656e+17,1.182514876956e-22,7.069827677179e+01,2.333043133469e+01,5.057805290659e+01,1.800024035233e+08,6.534151900679e+02,1.000000000000e+00,9.859104283175e+27
1210,2.003708496094e+17,1.180561827376e-22,7.058151101903e+01,2.329189863629e+01,5.049451785185e+01,1.800024040687e+08,6.531108960802e+02,1.000000000000e+00,9.859103499150e+27
1211,2.005363769531e+17,1.178613933979e-22,7.046505353576e+01,2.325346766679e+01,5.041120333527e+01,1.800024046121e+08,6.528061344191e+02,1.000000000000e+00,9.859105407188e+27
1212,2.007019042969e+17,1.176670436243e-22,7.034885885312e+01,2.321512342153e+01,5.032807682819e+01,1.800024051539e+08,6.525027349380e+02,1.000000000000e+00,9.859103781947e+27
1213,2.008674316406e+17,1.174732024105e-22,7.023296821994e+01,2.317687951258e+01,5.024516784025e+01,1.800024056944e+08,6.521989366837e+02,1.000000000000e+00,9.859104529524e+27
1214,2.010329589844e+17,1.172798407662e-22,7.011736430398e+01,2.313873022031e+01,5.016246397185e+01,1.800024062334e+08,6.518958096312e+02,1.000000000000e+00,9.859105357520e+27
1215,2.011984863281e+17,1.170869245250e-22,7.000202667839e+01,2.310066880387e+01,5.007995060951e+01,1.800024067714e+08,6.515931737708e+02,1.000000000000e+00,9.859103521985e+27
1216,2.013640136719e+17,1.168945278403e-22,6.988699967678e+01,2.306270989335e+01,4.999765946978e+01,1.800024073086e+08,6.512906418936e+02,1.000000000000e+00,9.859105396235e+27
1217,2.015295410156e+17,1.167025718362e-22,6.977223614213e+01,2.302483792691e+01,4.991555681619e+01,1.800024078451e+08,6.509886483673e+02,1.000000000000e+00,9.859104467035e+27
1218,2.016950683594e+17,1.165110903940e-22,6.965775633083e+01,2.298705958917e+01,4.983365714028e+01,1.800024083815e+08,6.506872828195e+02,1.000000000000e+00,9.859103719153e+27
1219,2.018605957031e+17,1.163201096204e-22,6.954357585113e+01,2.294938003088e+01,4.975197160840e+01,1.800024089178e+08,6.503856534116e+02,1.000000000000e+00,9.859105497544e+27
1220,2.020261230469e+17,1.161295513068e-22,6.942964794495e+01,2.291178382184e+01,4.967046676938e+01,1.800024094540e+08,6.500850855608e+02,1.000000000000e+00,9.859103305873e+27
1221,2.021916503906e+17,1.159394977179e-22,6.931602179536e+01,2.287428719248e+01,4.958917780921e+01,1.800024099902e+08,6.497843036206e+02,1.000000000000e+00,9.859104250746e+27
