raw_index,r_cm,rho_g_cm3,proton_equivalent_n_cm3,nH_X033_cm3,nH_ambientnorm_cm3,velocity_cm_s,temperature_K,wind1,shell_mass_g
1733,2.869416503906e+17,3.482830003940e-23,2.082257774223e+01,6.871450654937e+00,1.489662106048e+01,4.131324274290e+07,8.536860414693e+02,1.000000000000e+00,5.964843738063e+27
1741,2.882658691406e+17,3.472322539193e-23,2.075975742045e+01,6.850719948748e+00,1.485167895292e+01,4.151047684135e+07,8.518755197587e+02,1.000000000000e+00,6.001863563922e+27
1751,2.899211425781e+17,3.475854750908e-23,2.078087523354e+01,6.857688827066e+00,1.486678678746e+01,4.175888550580e+07,8.523248589676e+02,1.000000000000e+00,6.077164677014e+27
1759,2.912453613281e+17,3.504641550729e-23,2.095298107176e+01,6.914483753682e+00,1.498991253520e+01,4.195622854242e+07,8.560481932588e+02,1.000000000000e+00,6.183598023240e+27
1766,2.924040527344e+17,3.561132018642e-23,2.129071709634e+01,7.025936641793e+00,1.523153130300e+01,4.212725012167e+07,8.633082599896e+02,1.000000000000e+00,6.333364150428e+27
1772,2.933972167969e+17,3.637243460484e-23,2.174575980960e+01,7.176100737170e+00,1.555707211499e+01,4.227272291424e+07,8.733007722573e+02,1.000000000000e+00,6.512743305543e+27
1778,2.943903808594e+17,3.744975605108e-23,2.238985123934e+01,7.388650908982e+00,1.601785973100e+01,4.241718318156e+07,8.878811891277e+02,1.000000000000e+00,6.751120096886e+27
1784,2.953835449219e+17,3.894703255657e-23,2.328501857171e+01,7.684056128663e+00,1.665826884370e+01,4.256022630070e+07,9.087159232748e+02,1.000000000000e+00,7.068488892926e+27
1789,2.962111816406e+17,4.062715728489e-23,2.428950422655e+01,8.015536394763e+00,1.737688506625e+01,4.267776055651e+07,9.323606833205e+02,1.000000000000e+00,7.414791486665e+27
1793,2.968732910156e+17,4.233813933544e-23,2.531243835549e+01,8.353104657311e+00,1.810869945913e+01,4.277035459050e+07,9.563638284909e+02,1.000000000000e+00,7.761642433245e+27
1798,2.977009277344e+17,4.505907277501e-23,2.693918579974e+01,8.889931313915e+00,1.927248621685e+01,4.288398297799e+07,9.940064000998e+02,1.000000000000e+00,8.306579703945e+27
1802,2.983630371094e+17,4.781742490801e-23,2.858830452402e+01,9.434140492929e+00,2.045227754834e+01,4.297291749631e+07,1.031374173615e+03,1.000000000000e+00,8.854332629518e+27
1806,2.990251464844e+17,5.122118707266e-23,3.062329050408e+01,1.010568586635e+01,2.190812107470e+01,4.305973783615e+07,1.076225602133e+03,1.000000000000e+00,9.526747895875e+27
1810,2.996872558594e+17,5.541298223196e-23,3.312941283809e+01,1.093270623657e+01,2.370101891872e+01,4.314402151812e+07,1.129422798742e+03,1.000000000000e+00,1.035208153204e+28
1814,3.003493652344e+17,6.055287619303e-23,3.620236906823e+01,1.194678179251e+01,2.589943378658e+01,4.322540793805e+07,1.191560227449e+03,1.000000000000e+00,1.136234111320e+28
1818,3.010114746094e+17,6.680910764672e-23,3.994274300754e+01,1.318110519249e+01,2.857532405762e+01,4.330377752639e+07,1.262833755690e+03,1.000000000000e+00,1.259161347073e+28
1821,3.015080566406e+17,7.233456439466e-23,4.324621324769e+01,1.427125037174e+01,3.093865029712e+01,4.336069839157e+07,1.322187845477e+03,1.000000000000e+00,1.367802279985e+28
1824,3.020046386719e+17,7.865018793361e-23,4.702209556126e+01,1.551729153522e+01,3.363994351309e+01,4.341625910092e+07,1.386403218806e+03,1.000000000000e+00,1.492129792696e+28
1828,3.026667480469e+17,8.841476010229e-23,5.285997920393e+01,1.744379313730e+01,3.781640722938e+01,4.348871304353e+07,1.479198147809e+03,1.000000000000e+00,1.684743556176e+28
1832,3.033288574219e+17,9.986029244128e-23,5.970284798191e+01,1.970193983403e+01,4.271184450012e+01,4.355994928055e+07,1.579727148263e+03,1.000000000000e+00,1.911172562527e+28
1840,3.046530761719e+17,1.285006422056e-22,7.682587462570e+01,2.535253862649e+01,5.496178024194e+01,4.370097260325e+07,1.802791834793e+03,1.000000000000e+00,2.480824506804e+28
1858,3.076325683594e+17,2.292291581229e-22,1.370478019427e+02,4.522577464110e+01,9.804497781135e+01,4.401895725458e+07,2.406940218472e+03,1.000000000000e+00,4.512467551542e+28
1868,3.092878417969e+17,3.133783610382e-22,1.873575591708e+02,6.182799452637e+01,1.340369379975e+02,4.419971251861e+07,2.793217394334e+03,1.000000000000e+00,6.235543466941e+28
1880,3.112741699219e+17,4.492711363562e-22,2.686029221505e+02,8.863896430969e+01,1.921604518205e+02,4.442210069273e+07,3.299330135910e+03,1.000000000000e+00,9.054704782932e+28
1892,3.132604980469e+17,6.345715299360e-22,3.793873086011e+02,1.251978118384e+02,2.714163943268e+02,4.464578355788e+07,3.858261307152e+03,1.000000000000e+00,1.295303269193e+29
1898,3.142536621094e+17,7.463790703161e-22,4.462329829263e+02,1.472568843657e+02,3.192382678854e+02,4.475305617980e+07,4.152204456615e+03,1.000000000000e+00,1.533203342070e+29
1902,3.149157714844e+17,8.191393814856e-22,4.897337347334e+02,1.616121324620e+02,3.503590168886e+02,4.481845211045e+07,4.363378003000e+03,1.000000000000e+00,1.689764720306e+29
1904,3.152468261719e+17,8.529822540183e-22,5.099671611003e+02,1.682891631631e+02,3.648341548410e+02,4.484791498854e+07,4.452970103345e+03,1.000000000000e+00,1.763279066512e+29
1907,3.157434082031e+17,8.998555343604e-22,5.379909958224e+02,1.775370286214e+02,3.848826066554e+02,4.488747740532e+07,4.569239212217e+03,1.000000000000e+00,1.866040163535e+29
1909,3.160744628906e+17,9.281340965440e-22,5.548977227899e+02,1.831162485207e+02,3.969778000616e+02,4.491073376607e+07,4.636880205316e+03,1.000000000000e+00,1.928719869783e+29
