cell_index,radius_cm,rho_g_cm3,proton_equivalent_n_cm3,velocity_cm_s,temperature_k,wind1_tracer
648,2.146889648438e+17,2.417949145695e-21,1.445604120960e+03,4.504779119948e+07,5.849575277056e+03,1.000000000000e+00
649,2.150200195312e+17,2.410541956255e-21,1.441175630974e+03,4.504781899899e+07,5.840850509673e+03,1.000000000000e+00
650,2.153510742188e+17,2.403161607530e-21,1.436763188078e+03,4.504782373903e+07,5.831482909675e+03,1.000000000000e+00
651,2.156821289062e+17,2.395812086168e-21,1.432369175745e+03,4.504782020807e+07,5.822520448739e+03,1.000000000000e+00
652,2.160131835938e+17,2.388495507623e-21,1.427994858727e+03,4.504780747756e+07,5.814332578854e+03,1.000000000000e+00
653,2.163442382812e+17,2.381212983446e-21,1.423640901581e+03,4.504778228176e+07,5.806893236402e+03,1.000000000000e+00
654,2.166752929688e+17,2.373963692098e-21,1.419306813138e+03,4.504774345815e+07,5.800287358304e+03,1.000000000000e+00
655,2.170063476562e+17,2.366743650476e-21,1.414990212047e+03,4.504769109408e+07,5.794638415863e+03,1.000000000000e+00
656,2.173374023438e+17,2.359547921860e-21,1.410688146820e+03,4.504762597607e+07,5.790072943914e+03,1.000000000000e+00
657,2.176684570312e+17,2.352373551751e-21,1.406398851069e+03,4.504754895797e+07,5.786660056657e+03,1.000000000000e+00
658,2.179995117188e+17,2.345220607851e-21,1.402122365272e+03,4.504746393823e+07,5.784400838378e+03,1.000000000000e+00
659,2.183305664062e+17,2.338093188269e-21,1.397861139540e+03,4.504739465051e+07,5.783225366021e+03,1.000000000000e+00
660,2.186616210938e+17,2.330996336164e-21,1.393618188994e+03,4.504734703895e+07,5.782991589651e+03,1.000000000000e+00
661,2.189926757812e+17,2.323933901553e-21,1.389395815419e+03,4.504731920976e+07,5.783501754362e+03,1.000000000000e+00
662,2.193237304688e+17,2.316906720431e-21,1.385194518627e+03,4.504730724650e+07,5.784541065765e+03,1.000000000000e+00
663,2.196547851562e+17,2.309912928302e-21,1.381013183903e+03,4.504730511895e+07,5.785906214092e+03,1.000000000000e+00
664,2.199858398438e+17,2.302950228939e-21,1.376850438417e+03,4.504730730941e+07,5.787423704380e+03,1.000000000000e+00
665,2.203168945312e+17,2.296016833571e-21,1.372705212727e+03,4.504731642621e+07,5.788968947589e+03,1.000000000000e+00
666,2.206479492188e+17,2.289110753100e-21,1.368576317623e+03,4.504733646561e+07,5.790472545622e+03,1.000000000000e+00
667,2.209790039062e+17,2.282231238161e-21,1.364463305088e+03,4.504737013262e+07,5.791906154458e+03,1.000000000000e+00
668,2.213100585938e+17,2.275380840309e-21,1.360367700603e+03,4.504741888183e+07,5.793221189019e+03,1.000000000000e+00
669,2.216411132812e+17,2.268564053697e-21,1.356292191060e+03,4.504748298898e+07,5.794335102954e+03,1.000000000000e+00
670,2.219721679688e+17,2.261783132656e-21,1.352238124242e+03,4.504756175122e+07,5.795145310673e+03,1.000000000000e+00
671,2.223032226562e+17,2.255037010111e-21,1.348204862182e+03,4.504765377307e+07,5.795537929860e+03,1.000000000000e+00
672,2.226342773438e+17,2.248323772143e-21,1.344191260619e+03,4.504775726274e+07,5.795393138227e+03,1.000000000000e+00
673,2.229653320312e+17,2.241644093721e-21,1.340197723091e+03,4.504787034031e+07,5.794586686331e+03,1.000000000000e+00
674,2.232963867188e+17,2.235000370969e-21,1.336225682155e+03,4.504799143587e+07,5.793006933354e+03,1.000000000000e+00
675,2.236274414062e+17,2.228392825333e-21,1.332275270204e+03,4.504811734352e+07,5.790578538984e+03,1.000000000000e+00
676,2.239584960938e+17,2.221817444050e-21,1.328344088154e+03,4.504823392546e+07,5.787271022158e+03,1.000000000000e+00
677,2.242895507812e+17,2.215270808589e-21,1.324430092189e+03,4.504834036838e+07,5.783089989962e+03,1.000000000000e+00
678,2.246206054688e+17,2.208753075080e-21,1.320533375652e+03,4.504844060934e+07,5.778072964505e+03,1.000000000000e+00
679,2.249516601562e+17,2.202267102061e-21,1.316655647561e+03,4.504853651314e+07,5.772285705626e+03,1.000000000000e+00
680,2.252827148438e+17,2.195815021596e-21,1.312798182599e+03,4.504862548498e+07,5.765822270572e+03,1.000000000000e+00
681,2.256137695312e+17,2.189395863726e-21,1.308960400863e+03,4.504870105030e+07,5.758792782844e+03,1.000000000000e+00
682,2.259448242188e+17,2.183005932730e-21,1.305140092815e+03,4.504875629955e+07,5.751301782228e+03,1.000000000000e+00
683,2.262758789062e+17,2.176641555076e-21,1.301335062185e+03,4.504878812999e+07,5.743422283370e+03,1.000000000000e+00
684,2.266069335938e+17,2.170301045454e-21,1.297544301384e+03,4.504880002405e+07,5.735285865711e+03,1.000000000000e+00
685,2.269379882812e+17,2.163985092913e-21,1.293768222372e+03,4.504880137344e+07,5.727425609481e+03,1.000000000000e+00
686,2.272690429688e+17,2.157694762100e-21,1.290007461662e+03,4.504879925289e+07,5.719980342756e+03,1.000000000000e+00
687,2.276000976562e+17,2.151430151910e-21,1.286262078380e+03,4.504879241328e+07,5.713008688180e+03,1.000000000000e+00
688,2.279311523438e+17,2.145191264892e-21,1.282532074050e+03,4.504877961129e+07,5.706545661581e+03,1.000000000000e+00
689,2.282622070312e+17,2.138978220400e-21,1.278817520029e+03,4.504876066681e+07,5.700613142764e+03,1.000000000000e+00
690,2.285932617188e+17,2.132791529993e-21,1.275118722161e+03,4.504873604478e+07,5.695216866419e+03,1.000000000000e+00
691,2.289243164062e+17,2.126631541267e-21,1.271435888258e+03,4.504870654210e+07,5.690367664621e+03,1.000000000000e+00
692,2.292553710938e+17,2.120497509447e-21,1.267768573049e+03,4.504867301316e+07,5.686101568557e+03,1.000000000000e+00
693,2.295864257812e+17,2.114388066511e-21,1.264115958642e+03,4.504863615395e+07,5.682474730587e+03,1.000000000000e+00
694,2.299174804688e+17,2.108302375196e-21,1.260477544468e+03,4.504859629967e+07,5.679539863705e+03,1.000000000000e+00
695,2.302485351562e+17,2.102240237775e-21,1.256853212313e+03,4.504855405080e+07,5.677332590407e+03,1.000000000000e+00
696,2.305795898438e+17,2.096202069867e-21,1.253243210661e+03,4.504851616141e+07,5.675862920652e+03,1.000000000000e+00
697,2.309106445312e+17,2.090187931712e-21,1.249647575527e+03,4.504848623548e+07,5.675102389949e+03,1.000000000000e+00
698,2.312416992188e+17,2.084198223793e-21,1.246066546345e+03,4.504846541174e+07,5.674981135553e+03,1.000000000000e+00
699,2.315727539062e+17,2.078233437626e-21,1.242500416975e+03,4.504845368322e+07,5.675397513328e+03,1.000000000000e+00
700,2.319038085938e+17,2.072293405796e-21,1.238949087326e+03,4.504844943000e+07,5.676231879961e+03,1.000000000000e+00
