shell_index,tobs_s,radius_cm,gamma,fullhide_gamma2_dndgamma,dg_gamma2_dndgamma,dg_over_fullhide
1,2.3650391685e-01,1.0198243832e+14,3.8205420331e+06,2.2081749233e+42,2.7780897172e+42,1.2580931374e+00
1,2.3650391685e-01,1.0198243832e+14,4.4967683912e+06,2.0688001324e+42,2.6006065026e+42,1.2570602940e+00
1,2.3650391685e-01,1.0198243832e+14,5.2926851187e+06,1.9382186773e+42,2.4456339927e+42,1.2617946682e+00
1,2.3650391685e-01,1.0198243832e+14,6.2294771108e+06,1.8158753894e+42,2.2855700621e+42,1.2586601897e+00
1,2.3650391685e-01,1.0198243832e+14,7.3320789361e+06,1.7012501125e+42,2.1371943267e+42,1.2562493374e+00
1,2.3650391685e-01,1.0198243832e+14,8.6298385191e+06,1.5938554910e+42,2.0010850721e+42,1.2554996883e+00
1,2.3650391685e-01,1.0198243832e+14,1.0157298294e+07,1.4932348964e+42,1.8762539612e+42,1.2565028890e+00
1,2.3650391685e-01,1.0198243832e+14,1.1955114617e+07,1.3989604849e+42,1.7587143615e+42,1.2571579973e+00
1,2.3650391685e-01,1.0198243832e+14,1.4071139922e+07,1.3106313780e+42,1.6503521080e+42,1.2592038736e+00
1,2.3650391685e-01,1.0198243832e+14,1.6561696398e+07,1.2278719559e+42,1.5476570313e+42,1.2604384552e+00
1,2.3650391685e-01,1.0198243832e+14,1.9493075124e+07,1.1503302601e+42,1.4495535280e+42,1.2601194442e+00
1,2.3650391685e-01,1.0198243832e+14,2.2943300533e+07,1.0776764951e+42,1.3579202599e+42,1.2600444253e+00
1,2.3650391685e-01,1.0198243832e+14,2.7004207186e+07,1.0096016246e+42,1.2729946200e+42,1.2608880463e+00
1,2.3650391685e-01,1.0198243832e+14,3.1783884133e+07,9.4581605599e+41,1.1926197348e+42,1.2609425768e+00
1,2.3650391685e-01,1.0198243832e+14,3.7409551911e+07,8.8604840668e+41,1.1160737601e+42,1.2596081114e+00
1,2.3650391685e-01,1.0198243832e+14,4.4030948778e+07,8.3004434814e+41,1.0449870521e+42,1.2589532769e+00
1,2.3650391685e-01,1.0198243832e+14,5.1824316283e+07,7.7756551679e+41,9.7854895549e+41,1.2584778187e+00
1,2.3650391685e-01,1.0198243832e+14,6.0997090291e+07,7.2838795706e+41,9.1393328156e+41,1.2547342013e+00
1,2.3650391685e-01,1.0198243832e+14,7.1793422294e+07,6.8225948238e+41,8.5642773479e+41,1.2552815416e+00
1,2.3650391685e-01,1.0198243832e+14,8.4500677985e+07,6.3676640292e+41,7.9434990803e+41,1.2474745910e+00
1,2.3650391685e-01,1.0198243832e+14,9.9457086063e+07,5.3449297437e+41,6.7344547460e+41,1.2599706767e+00
1,2.3650391685e-01,1.0198243832e+14,1.1706074086e+08,4.0990499790e+41,5.2400507161e+41,1.2783573616e+00
1,2.3650391685e-01,1.0198243832e+14,1.3778019841e+08,3.0399549090e+41,3.9004841883e+41,1.2830730406e+00
1,2.3650391685e-01,1.0198243832e+14,1.6216694798e+08,2.1624850974e+41,2.7885480195e+41,1.2895108609e+00
1,2.3650391685e-01,1.0198243832e+14,1.9087009106e+08,1.4645440746e+41,1.8999254159e+41,1.2972811463e+00
1,2.3650391685e-01,1.0198243832e+14,2.2465361848e+08,9.3602690955e+40,1.2226965485e+41,1.3062621769e+00
1,2.3650391685e-01,1.0198243832e+14,2.6441674553e+08,5.5811936261e+40,7.3606117903e+40,1.3188239440e+00
1,2.3650391685e-01,1.0198243832e+14,3.1121784634e+08,3.0205349956e+40,4.1002513773e+40,1.3574586566e+00
16,3.5644313427e-01,1.5358600779e+14,1.0000000000e+00,1.0036955240e+49,3.9139169229e+48,3.8995062040e-01
16,3.5644313427e-01,1.5358600779e+14,1.1769974920e+00,1.7744416307e+48,4.2256542455e+48,2.3813994061e+00
16,3.5644313427e-01,1.5358600779e+14,1.3853230963e+00,3.8523467147e+47,1.1213147378e+48,2.9107316159e+00
16,3.5644313427e-01,1.5358600779e+14,1.6305218099e+00,1.7943230097e+47,5.4707341857e+47,3.0489126853e+00
16,3.5644313427e-01,1.5358600779e+14,1.9191200810e+00,1.0752718124e+47,4.1018605854e+47,3.8147197182e+00
16,3.5644313427e-01,1.5358600779e+14,2.2587995223e+00,7.3459892509e+46,3.5715177623e+47,4.8618608608e+00
16,3.5644313427e-01,1.5358600779e+14,2.6586013727e+00,5.4386805412e+46,3.1295096624e+47,5.7541707748e+00
16,3.5644313427e-01,1.5358600779e+14,3.1291671480e+00,4.2500917102e+46,1.5628391720e+47,3.6771892905e+00
16,3.5644313427e-01,1.5358600779e+14,3.6830218853e+00,3.4515103434e+46,8.6281616237e+46,2.4998220389e+00
16,3.5644313427e-01,1.5358600779e+14,4.3349075221e+00,2.8840119583e+46,7.1871483940e+46,2.4920660864e+00
16,3.5644313427e-01,1.5358600779e+14,5.1021752817e+00,2.4627510835e+46,6.1596367405e+46,2.5011203047e+00
16,3.5644313427e-01,1.5358600779e+14,6.0052475105e+00,2.1389095847e+46,5.3336720840e+46,2.4936407421e+00
16,3.5644313427e-01,1.5358600779e+14,7.0681612589e+00,1.8827028601e+46,4.7106829316e+46,2.5020851838e+00
16,3.5644313427e-01,1.5358600779e+14,8.3192080750e+00,1.6750813629e+46,4.2047194585e+46,2.5101583431e+00
16,3.5644313427e-01,1.5358600779e+14,9.7916870400e+00,1.5033798980e+46,3.7854605200e+46,2.5179666996e+00
16,3.5644313427e-01,1.5358600779e+14,1.1524791089e+01,1.3589004405e+46,3.4226207133e+46,2.5186692205e+00
