scenario,solver,t_obs_s,nearest_track_time_s,nearest_radius_cm,gamma_e,dnde,gamma2_dnde
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,5.68802566e+05,8.87421234e+41,2.87113035e+53
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,6.87745570e+05,4.79022625e+41,2.26574813e+53
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,8.31560891e+05,2.58126219e+41,1.78492607e+53
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.00544961e+06,1.38871242e+41,1.40388955e+53
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.21570042e+06,7.46046917e+40,1.10260326e+53
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.46991702e+06,4.00281974e+40,8.64871672e+52
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.77729318e+06,2.14522722e+40,6.77628164e+52
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.14894514e+06,1.14850770e+40,5.30376861e+52
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.59831370e+06,6.14298330e+39,4.14727183e+52
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.14165027e+06,3.28267015e+39,3.23998442e+52
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.79860463e+06,1.75259659e+39,2.52889122e+52
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,4.59293551e+06,9.34834316e+38,1.97203828e+52
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,5.55336990e+06,4.98152883e+38,1.53629937e+52
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,6.71464190e+06,2.65172379e+38,1.19556722e+52
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,8.11874893e+06,1.40986277e+38,9.29298130e+51
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,9.81647049e+06,7.48571609e+37,7.21346755e+51
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.18692047e+07,3.96823962e+37,5.59037742e+51
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.43511887e+07,2.09961036e+37,4.32428646e+51
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.73521834e+07,1.10836339e+37,3.33726298e+51
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.09807198e+07,5.83442448e+36,2.56825883e+51
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.53680239e+07,3.06039447e+36,1.96947596e+51
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.06727626e+07,1.59808410e+36,1.50350687e+51
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.70867817e+07,8.29622327e+35,1.14108692e+51
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,4.48420442e+07,4.27354996e+35,8.59329240e+50
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,5.42190191e+07,2.17824292e+35,6.40338516e+50
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,6.55568249e+07,1.09389003e+35,4.70120821e+50
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,7.92654931e+07,5.37517573e+34,3.37723280e+50
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,9.58407978e+07,2.55352636e+34,2.34553105e+50
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.15882185e+08,1.14562468e+34,1.53842281e+50
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.40114451e+08,4.68356937e+33,9.19481120e+49
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.69413956e+08,1.81325541e+33,5.20424039e+49
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.04840317e+08,6.64900449e+32,2.78989272e+49
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.47674727e+08,2.28390200e+32,1.40100876e+49
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.99466294e+08,7.25658288e+31,6.50770796e+48
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.62088059e+08,2.10028193e+31,2.75363263e+48
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,4.37804738e+08,5.43594860e+30,1.04192451e+48
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,5.29354624e+08,1.23024667e+30,3.44735193e+47
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,6.40048621e+08,2.36934476e+29,9.70631076e+46
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,7.73889975e+08,3.75713275e+28,2.25016819e+46
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,9.35719058e+08,4.71255155e+27,4.12616949e+45
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.13138842e+09,4.45264499e+26,5.69956262e+44
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.36797444e+09,2.98607582e+25,5.58800518e+43
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.65403326e+09,1.32193047e+24,3.61657179e+42
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.99991019e+09,3.53641175e+22,1.41443766e+41
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.41811387e+09,5.13366781e+20,3.00179658e+39
