scenario,t_obs_s,gamma_e,ratio_dg_to_fullhide
multi_density_jump,1.00000000e+05,8.51724228e+04,9.14099882e-01
multi_density_jump,1.00000000e+05,1.02982933e+05,9.18999704e-01
multi_density_jump,1.00000000e+05,1.24517821e+05,9.18618535e-01
multi_density_jump,1.00000000e+05,1.50555895e+05,9.12783598e-01
multi_density_jump,1.00000000e+05,1.82038823e+05,9.03885957e-01
multi_density_jump,1.00000000e+05,2.20105185e+05,8.94053152e-01
multi_density_jump,1.00000000e+05,2.66131651e+05,8.84373420e-01
multi_density_jump,1.00000000e+05,3.21782768e+05,8.76113495e-01
multi_density_jump,1.00000000e+05,3.89071158e+05,8.68149527e-01
multi_density_jump,1.00000000e+05,4.70430306e+05,8.61926133e-01
multi_density_jump,1.00000000e+05,5.68802566e+05,8.56257642e-01
multi_density_jump,1.00000000e+05,6.87745570e+05,8.50682252e-01
multi_density_jump,1.00000000e+05,8.31560891e+05,8.45578173e-01
multi_density_jump,1.00000000e+05,1.00544961e+06,8.42746520e-01
multi_density_jump,1.00000000e+05,1.21570042e+06,8.40867270e-01
multi_density_jump,1.00000000e+05,1.46991702e+06,8.38826432e-01
multi_density_jump,1.00000000e+05,1.77729318e+06,8.36755285e-01
multi_density_jump,1.00000000e+05,2.14894514e+06,8.34929260e-01
multi_density_jump,1.00000000e+05,2.59831370e+06,8.33476580e-01
multi_density_jump,1.00000000e+05,3.14165027e+06,8.32415406e-01
multi_density_jump,1.00000000e+05,3.79860463e+06,8.31718174e-01
multi_density_jump,1.00000000e+05,4.59293551e+06,8.31352333e-01
multi_density_jump,1.00000000e+05,5.55336990e+06,8.31291174e-01
multi_density_jump,1.00000000e+05,6.71464190e+06,8.31514339e-01
multi_density_jump,1.00000000e+05,8.11874893e+06,8.32006269e-01
multi_density_jump,1.00000000e+05,9.81647049e+06,8.32754623e-01
multi_density_jump,1.00000000e+05,1.18692047e+07,8.33748474e-01
multi_density_jump,1.00000000e+05,1.43511887e+07,8.34976162e-01
multi_density_jump,1.00000000e+05,1.73521834e+07,8.36422751e-01
multi_density_jump,1.00000000e+05,2.09807198e+07,8.38066919e-01
multi_density_jump,1.00000000e+05,2.53680239e+07,8.39877049e-01
multi_density_jump,1.00000000e+05,3.06727626e+07,8.41806408e-01
multi_density_jump,1.00000000e+05,3.70867817e+07,8.43787109e-01
multi_density_jump,1.00000000e+05,4.48420442e+07,8.45722464e-01
multi_density_jump,1.00000000e+05,5.42190191e+07,8.47477448e-01
multi_density_jump,1.00000000e+05,6.55568249e+07,8.48866627e-01
multi_density_jump,1.00000000e+05,7.92654931e+07,8.49638305e-01
multi_density_jump,1.00000000e+05,9.58407978e+07,8.49453201e-01
multi_density_jump,1.00000000e+05,1.15882185e+08,8.47853668e-01
multi_density_jump,1.00000000e+05,1.40114451e+08,8.44214054e-01
multi_density_jump,1.00000000e+05,1.69413956e+08,8.37651044e-01
multi_density_jump,1.00000000e+05,2.04840317e+08,8.26837940e-01
multi_density_jump,1.00000000e+05,2.47674727e+08,8.09558857e-01
multi_density_jump,1.00000000e+05,2.99466294e+08,7.81442052e-01
multi_density_jump,1.00000000e+05,3.62088059e+08,7.51001093e-01
multi_density_jump,1.00000000e+05,4.37804738e+08,7.34837824e-01
multi_density_jump,1.00000000e+05,5.29354624e+08,7.14615114e-01
multi_density_jump,1.00000000e+05,6.40048621e+08,6.91298269e-01
multi_density_jump,1.00000000e+05,7.73889975e+08,6.64726070e-01
multi_density_jump,1.00000000e+05,9.35719058e+08,6.34795261e-01
multi_density_jump,1.00000000e+05,1.13138842e+09,6.01479427e-01
multi_density_jump,1.00000000e+05,1.36797444e+09,5.64852137e-01
multi_density_jump,1.00000000e+05,1.65403326e+09,5.25114053e-01
multi_density_jump,1.00000000e+05,1.99991019e+09,4.82621874e-01
multi_density_jump,1.00000000e+05,2.41811387e+09,4.37914188e-01
multi_density_jump,1.00000000e+05,2.92376863e+09,3.91725928e-01
multi_density_jump,1.00000000e+05,3.53516149e+09,3.44980520e-01
multi_density_jump,1.00000000e+05,4.27440345e+09,2.98749141e-01
multi_density_jump,1.00000000e+05,5.16822921e+09,2.54169232e-01
multi_density_jump,1.00000000e+05,6.24896397e+09,2.12355850e-01
multi_density_jump,1.00000000e+05,7.55569251e+09,1.74641604e-01
multi_density_jump,1.00000000e+05,9.13567266e+09,1.97392995e-01
multi_density_jump,1.00000000e+05,1.10460444e+10,
multi_density_jump,1.00000000e+05,1.33558963e+10,9.00111780e-02
multi_density_jump,1.00000000e+05,1.61487642e+10,
multi_density_jump,1.00000000e+05,1.95256522e+10,
multi_density_jump,1.00000000e+05,2.36086853e+10,
multi_density_jump,1.00000000e+07,3.00000000e+00,
multi_density_jump,1.00000000e+07,3.62733369e+00,
multi_density_jump,1.00000000e+07,4.38584989e+00,
multi_density_jump,1.00000000e+07,5.30298036e+00,2.93005158e+00
multi_density_jump,1.00000000e+07,6.41189310e+00,2.68941876e-01
multi_density_jump,1.00000000e+07,7.75269195e+00,1.33230934e+00
multi_density_jump,1.00000000e+07,9.37386689e+00,
multi_density_jump,1.00000000e+07,1.13340477e+01,
multi_density_jump,1.00000000e+07,1.37041244e+01,
multi_density_jump,1.00000000e+07,1.65698107e+01,6.73240850e-02
multi_density_jump,1.00000000e+07,2.00347441e+01,1.63744730e-02
multi_density_jump,1.00000000e+07,2.42242341e+01,
multi_density_jump,1.00000000e+07,2.92897935e+01,1.57255116e-01
multi_density_jump,1.00000000e+07,3.54146182e+01,
multi_density_jump,1.00000000e+07,4.28202125e+01,1.09571304e+00
multi_density_jump,1.00000000e+07,5.17743998e+01,1.01906051e+00
multi_density_jump,1.00000000e+07,6.26010082e+01,1.05492978e+00
multi_density_jump,1.00000000e+07,7.56915820e+01,1.04949467e+00
multi_density_jump,1.00000000e+07,9.15195418e+01,1.04002275e+00
multi_density_jump,1.00000000e+07,1.10657306e+02,1.02893278e+00
multi_density_jump,1.00000000e+07,1.33796991e+02,1.02411384e+00
multi_density_jump,1.00000000e+07,1.61775444e+02,1.01396258e+00
multi_density_jump,1.00000000e+07,1.95604506e+02,1.00720065e+00
multi_density_jump,1.00000000e+07,2.36507605e+02,9.93695065e-01
multi_density_jump,1.00000000e+07,2.85964001e+02,9.87128873e-01
multi_density_jump,1.00000000e+07,3.45762284e+02,9.85563685e-01
multi_density_jump,1.00000000e+07,4.18065061e+02,1.05328607e+00
multi_density_jump,1.00000000e+07,5.05487160e+02,1.12235852e+00
multi_density_jump,1.00000000e+07,6.11190201e+02,1.09020731e+00
multi_density_jump,1.00000000e+07,7.38996935e+02,1.03922332e+00
multi_density_jump,1.00000000e+07,8.93529493e+02,9.96346314e-01
multi_density_jump,1.00000000e+07,1.08037654e+03,1.00726515e+00
multi_density_jump,1.00000000e+07,1.30629541e+03,9.80676668e-01
multi_density_jump,1.00000000e+07,1.57945645e+03,9.80426421e-01
multi_density_jump,1.00000000e+07,1.90973853e+03,9.75748376e-01
multi_density_jump,1.00000000e+07,2.30908630e+03,9.78057502e-01
multi_density_jump,1.00000000e+07,2.79194217e+03,9.72427052e-01
multi_density_jump,1.00000000e+07,3.37576863e+03,9.71037718e-01
multi_density_jump,1.00000000e+07,4.08167976e+03,1.00405776e+00
multi_density_jump,1.00000000e+07,4.93520484e+03,9.81594920e-01
multi_density_jump,1.00000000e+07,5.96721159e+03,9.70238006e-01
multi_density_jump,1.00000000e+07,7.21502254e+03,9.75110232e-01
multi_density_jump,1.00000000e+07,8.72376477e+03,9.70132084e-01
multi_density_jump,1.00000000e+07,1.05480019e+04,9.75507438e-01
multi_density_jump,1.00000000e+07,1.27537076e+04,9.66774802e-01
multi_density_jump,1.00000000e+07,1.54206511e+04,9.75016308e-01
multi_density_jump,1.00000000e+07,1.86452824e+04,9.74467633e-01
multi_density_jump,1.00000000e+07,2.25442203e+04,9.61935218e-01
multi_density_jump,1.00000000e+07,2.72584699e+04,9.55812656e-01
multi_density_jump,1.00000000e+07,3.29585220e+04,9.37885584e-01
multi_density_jump,1.00000000e+07,3.98505191e+04,9.16724900e-01
multi_density_jump,1.00000000e+07,4.81837101e+04,8.79013575e-01
multi_density_jump,1.00000000e+07,5.82594650e+04,8.53883197e-01
multi_density_jump,1.00000000e+07,7.04421733e+04,8.35061712e-01
multi_density_jump,1.00000000e+07,8.51724228e+04,8.35995060e-01
multi_density_jump,1.00000000e+07,1.02982933e+05,8.36468423e-01
multi_density_jump,1.00000000e+07,1.24517821e+05,8.32231898e-01
multi_density_jump,1.00000000e+07,1.50555895e+05,8.31949064e-01
multi_density_jump,1.00000000e+07,1.82038823e+05,8.31285313e-01
multi_density_jump,1.00000000e+07,2.20105185e+05,8.29484638e-01
multi_density_jump,1.00000000e+07,2.66131651e+05,8.27841226e-01
multi_density_jump,1.00000000e+07,3.21782768e+05,8.25273985e-01
multi_density_jump,1.00000000e+07,3.89071158e+05,8.23019565e-01
multi_density_jump,1.00000000e+07,4.70430306e+05,8.20611252e-01
multi_density_jump,1.00000000e+07,5.68802566e+05,8.15779601e-01
multi_density_jump,1.00000000e+07,6.87745570e+05,8.13443000e-01
multi_density_jump,1.00000000e+07,8.31560891e+05,8.13962128e-01
multi_density_jump,1.00000000e+07,1.00544961e+06,8.11385762e-01
multi_density_jump,1.00000000e+07,1.21570042e+06,8.07448643e-01
multi_density_jump,1.00000000e+07,1.46991702e+06,8.09124612e-01
multi_density_jump,1.00000000e+07,1.77729318e+06,8.12423130e-01
multi_density_jump,1.00000000e+07,2.14894514e+06,8.13610800e-01
multi_density_jump,1.00000000e+07,2.59831370e+06,8.13274789e-01
multi_density_jump,1.00000000e+07,3.14165027e+06,8.12329351e-01
multi_density_jump,1.00000000e+07,3.79860463e+06,8.11400013e-01
multi_density_jump,1.00000000e+07,4.59293551e+06,8.10683150e-01
multi_density_jump,1.00000000e+07,5.55336990e+06,8.10219857e-01
multi_density_jump,1.00000000e+07,6.71464190e+06,8.09979483e-01
multi_density_jump,1.00000000e+07,8.11874893e+06,8.09958012e-01
multi_density_jump,1.00000000e+07,9.81647049e+06,8.10139930e-01
multi_density_jump,1.00000000e+07,1.18692047e+07,8.10518109e-01
multi_density_jump,1.00000000e+07,1.43511887e+07,8.11088750e-01
multi_density_jump,1.00000000e+07,1.73521834e+07,8.11850391e-01
multi_density_jump,1.00000000e+07,2.09807198e+07,8.12802778e-01
multi_density_jump,1.00000000e+07,2.53680239e+07,8.13945510e-01
multi_density_jump,1.00000000e+07,3.06727626e+07,8.15276382e-01
multi_density_jump,1.00000000e+07,3.70867817e+07,8.16789298e-01
multi_density_jump,1.00000000e+07,4.48420442e+07,8.18471619e-01
multi_density_jump,1.00000000e+07,5.42190191e+07,8.20300785e-01
multi_density_jump,1.00000000e+07,6.55568249e+07,8.22240018e-01
multi_density_jump,1.00000000e+07,7.92654931e+07,8.24232870e-01
multi_density_jump,1.00000000e+07,9.58407978e+07,8.26196326e-01
multi_density_jump,1.00000000e+07,1.15882185e+08,8.28012113e-01
multi_density_jump,1.00000000e+07,1.40114451e+08,8.29515698e-01
multi_density_jump,1.00000000e+07,1.69413956e+08,8.30482208e-01
multi_density_jump,1.00000000e+07,2.04840317e+08,8.30607882e-01
multi_density_jump,1.00000000e+07,2.47674727e+08,8.29484271e-01
multi_density_jump,1.00000000e+07,2.99466294e+08,8.26559125e-01
multi_density_jump,1.00000000e+07,3.62088059e+08,8.21069533e-01
multi_density_jump,1.00000000e+07,4.37804738e+08,8.11910217e-01
multi_density_jump,1.00000000e+07,5.29354624e+08,7.97330029e-01
multi_density_jump,1.00000000e+07,6.40048621e+08,7.74100828e-01
multi_density_jump,1.00000000e+07,7.73889975e+08,7.38627209e-01
multi_density_jump,1.00000000e+07,9.35719058e+08,7.22976578e-01
multi_density_jump,1.00000000e+07,1.13138842e+09,7.04133364e-01
multi_density_jump,1.00000000e+07,1.36797444e+09,6.82358006e-01
multi_density_jump,1.00000000e+07,1.65403326e+09,6.57570472e-01
multi_density_jump,1.00000000e+07,1.99991019e+09,6.29645553e-01
multi_density_jump,1.00000000e+07,2.41811387e+09,5.98503904e-01
multi_density_jump,1.00000000e+07,2.92376863e+09,5.64139464e-01
multi_density_jump,1.00000000e+07,3.53516149e+09,5.26655803e-01
multi_density_jump,1.00000000e+07,4.27440345e+09,4.86305448e-01
multi_density_jump,1.00000000e+07,5.16822921e+09,4.43524444e-01
multi_density_jump,1.00000000e+07,6.24896397e+09,3.98953574e-01
multi_density_jump,1.00000000e+07,7.55569251e+09,3.53437115e-01
multi_density_jump,1.00000000e+07,9.13567266e+09,3.07990408e-01
multi_density_jump,1.00000000e+07,1.10460444e+10,2.63731266e-01
multi_density_jump,1.00000000e+07,1.33558963e+10,2.21779631e-01
multi_density_jump,1.00000000e+07,1.61487642e+10,1.83134957e-01
multi_density_jump,1.00000000e+07,1.95256522e+10,1.49527943e-01
multi_density_jump,1.00000000e+07,2.36086853e+10,
