scenario,t_obs_s,gamma_e,ratio_dg_to_fullhide
wind,1.00000000e+07,6.13175479e+00,1.43191926e-01
wind,1.00000000e+07,7.33163203e+00,1.56171095e-01
wind,1.00000000e+07,8.76630428e+00,1.65366641e-01
wind,1.00000000e+07,1.04817168e+01,1.61838321e-01
wind,1.00000000e+07,1.25328056e+01,1.63122911e-01
wind,1.00000000e+07,1.49852566e+01,1.62435830e-01
wind,1.00000000e+07,1.79176094e+01,1.52882254e-01
wind,1.00000000e+07,2.14237724e+01,1.55652322e-01
wind,1.00000000e+07,2.56160302e+01,1.50235278e-01
wind,1.00000000e+07,3.06286397e+01,1.51667559e-01
wind,1.00000000e+07,3.66221291e+01,1.57821921e-01
wind,1.00000000e+07,4.37884397e+01,1.57690373e-01
wind,1.00000000e+07,5.23570720e+01,1.91102498e-01
wind,1.00000000e+07,6.26024360e+01,2.30994010e-01
wind,1.00000000e+07,7.48526385e+01,3.76668669e-01
wind,1.00000000e+07,8.94999916e+01,4.65951544e-01
wind,1.00000000e+07,1.07013576e+02,5.36329341e-01
wind,1.00000000e+07,1.27954262e+02,5.93608640e-01
wind,1.00000000e+07,1.52992675e+02,6.76972904e-01
wind,1.00000000e+07,1.82930667e+02,7.66398738e-01
wind,1.00000000e+07,2.18727002e+02,8.98775364e-01
wind,1.00000000e+07,2.61528053e+02,1.08217953e+00
wind,1.00000000e+07,3.12704522e+02,1.35139506e+00
wind,1.00000000e+07,3.73895332e+02,1.60856773e+00
wind,1.00000000e+07,4.47060114e+02,1.08674164e+00
wind,1.00000000e+07,5.34541964e+02,9.58914784e-01
wind,1.00000000e+07,6.39142484e+02,9.20202241e-01
wind,1.00000000e+07,7.64211498e+02,9.12711018e-01
wind,1.00000000e+07,9.13754331e+02,9.13891566e-01
wind,1.00000000e+07,1.09256008e+03,9.07388477e-01
wind,1.00000000e+07,1.30635500e+03,9.11207451e-01
wind,1.00000000e+07,1.56198584e+03,9.13953563e-01
wind,1.00000000e+07,1.86763917e+03,9.04407993e-01
wind,1.00000000e+07,2.23310351e+03,9.18840614e-01
wind,1.00000000e+07,2.67008283e+03,9.12208931e-01
wind,1.00000000e+07,3.19257138e+03,9.09040666e-01
wind,1.00000000e+07,3.81730180e+03,9.11816480e-01
wind,1.00000000e+07,4.56428104e+03,9.11538752e-01
wind,1.00000000e+07,5.45743107e+03,9.08704695e-01
wind,1.00000000e+07,6.52535495e+03,9.13876579e-01
wind,1.00000000e+07,7.80225286e+03,9.09639128e-01
wind,1.00000000e+07,9.32901738e+03,9.09771592e-01
wind,1.00000000e+07,1.11545430e+04,9.15315084e-01
wind,1.00000000e+07,1.33372921e+04,9.05180506e-01
wind,1.00000000e+07,1.59471671e+04,9.10838595e-01
wind,1.00000000e+07,1.90677490e+04,9.11349647e-01
wind,1.00000000e+07,2.27989742e+04,9.11405738e-01
wind,1.00000000e+07,2.72603350e+04,9.11466665e-01
wind,1.00000000e+07,3.25947061e+04,9.11527416e-01
wind,1.00000000e+07,3.89729204e+04,9.11586532e-01
wind,1.00000000e+07,4.65992398e+04,9.11644563e-01
wind,1.00000000e+07,5.57178966e+04,9.11699900e-01
wind,1.00000000e+07,6.66209151e+04,9.11751274e-01
wind,1.00000000e+07,7.96574638e+04,9.11798420e-01
wind,1.00000000e+07,9.52450372e+04,9.11838664e-01
wind,1.00000000e+07,1.13882826e+05,9.11871526e-01
wind,1.00000000e+07,1.36167705e+05,9.11893963e-01
wind,1.00000000e+07,1.62813345e+05,9.11904253e-01
wind,1.00000000e+07,1.94673071e+05,9.11899535e-01
wind,1.00000000e+07,2.32767189e+05,9.11876697e-01
wind,1.00000000e+07,2.78315659e+05,9.11832137e-01
wind,1.00000000e+07,3.32777169e+05,9.11761674e-01
wind,1.00000000e+07,3.97895845e+05,9.11660570e-01
wind,1.00000000e+07,4.75757108e+05,9.11523261e-01
wind,1.00000000e+07,5.68854459e+05,9.11343445e-01
wind,1.00000000e+07,6.80169334e+05,9.11114047e-01
wind,1.00000000e+07,8.13266585e+05,9.10826720e-01
wind,1.00000000e+07,9.72408642e+05,9.10471140e-01
wind,1.00000000e+07,1.16269202e+06,9.10036921e-01
wind,1.00000000e+07,1.39021052e+06,9.09508952e-01
wind,1.00000000e+07,1.66225043e+06,9.08875871e-01
wind,1.00000000e+07,1.98752378e+06,9.08077862e-01
wind,1.00000000e+07,2.37644745e+06,9.07095632e-01
wind,1.00000000e+07,2.84147668e+06,9.06018568e-01
wind,1.00000000e+07,3.39750400e+06,9.04844272e-01
wind,1.00000000e+07,4.06233616e+06,9.03462000e-01
wind,1.00000000e+07,4.85726434e+06,9.01819306e-01
wind,1.00000000e+07,5.80774608e+06,8.99708341e-01
wind,1.00000000e+07,6.94422048e+06,8.97058976e-01
wind,1.00000000e+07,8.30308306e+06,8.94654178e-01
wind,1.00000000e+07,9.92785130e+06,8.92326143e-01
wind,1.00000000e+07,1.18705583e+07,8.89824820e-01
wind,1.00000000e+07,1.41934191e+07,8.87208767e-01
wind,1.00000000e+07,1.69708231e+07,8.84300266e-01
wind,1.00000000e+07,2.02917166e+07,8.81333828e-01
wind,1.00000000e+07,2.42624509e+07,8.78624166e-01
wind,1.00000000e+07,2.90101884e+07,8.74871267e-01
wind,1.00000000e+07,3.46869753e+07,8.71261998e-01
wind,1.00000000e+07,4.14746101e+07,8.67113198e-01
wind,1.00000000e+07,4.95904664e+07,8.62357419e-01
wind,1.00000000e+07,5.92944540e+07,8.57179350e-01
wind,1.00000000e+07,7.08973423e+07,8.52150776e-01
wind,1.00000000e+07,8.47707130e+07,8.49861282e-01
wind,1.00000000e+07,1.01358860e+08,8.49332113e-01
wind,1.00000000e+07,1.21193017e+08,8.48490345e-01
wind,1.00000000e+07,1.44908373e+08,8.47501548e-01
wind,1.00000000e+07,1.73264409e+08,8.46615254e-01
wind,1.00000000e+07,2.07169225e+08,8.46006896e-01
wind,1.00000000e+07,2.47708621e+08,8.45715680e-01
wind,1.00000000e+07,2.96180869e+08,8.45694357e-01
wind,1.00000000e+07,3.54138289e+08,8.45850598e-01
wind,1.00000000e+07,4.23436963e+08,8.46063055e-01
wind,1.00000000e+07,5.06296175e+08,8.46173875e-01
wind,1.00000000e+07,6.05369488e+08,8.45978888e-01
wind,1.00000000e+07,7.23829716e+08,8.45213235e-01
wind,1.00000000e+07,8.65470541e+08,8.43529643e-01
wind,1.00000000e+07,1.03482800e+09,8.40464353e-01
wind,1.00000000e+07,1.23732575e+09,8.35378865e-01
wind,1.00000000e+07,1.47944878e+09,8.27349981e-01
wind,1.00000000e+07,1.76895104e+09,8.14938313e-01
wind,1.00000000e+07,2.11510385e+09,7.95633105e-01
wind,1.00000000e+07,2.52899270e+09,7.64263705e-01
wind,1.00000000e+07,3.02387237e+09,7.36032871e-01
wind,1.00000000e+07,3.61559135e+09,7.10738048e-01
wind,1.00000000e+07,4.32309938e+09,6.71821164e-01
wind,1.00000000e+07,5.16905437e+09,6.01600187e-01
wind,1.00000000e+07,6.18054797e+09,3.81080977e-01
