scenario,solver,component,band,frequency_hz,time_s,flux_mjy
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.184906851001e+06,2.206403375262e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.438449888288e+06,2.067161490304e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.746245352002e+06,1.913654034913e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.119902023850e+06,1.726080747706e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.573512700017e+06,1.515568608870e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.124185713603e+06,1.299076070897e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.792690190732e+06,1.080024046692e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.604239376759e+06,8.755413004893e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.589441576403e+06,6.950414263092e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.785454573394e+06,5.428518438165e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,8.237387069571e+06,4.191160012206e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.000000000000e+07,3.210079548340e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.000000000000e-01,2.372044153779e-30
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.213977189070e-01,3.763986737603e-30
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.473740615582e-01,6.116884367246e-30
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.789087489923e-01,1.017840874826e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.171911402017e-01,1.721883846983e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.636650898730e-01,2.949318550115e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.200834046600e-01,5.105474249637e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.885739518571e-01,8.970766977950e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.717199138213e-01,1.593976637675e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,5.726572150092e-01,2.862948197435e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,6.951927961776e-01,5.179134824427e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,8.439481965654e-01,9.399431569042e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.024533859387e+00,1.705641466361e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.243760734726e+00,3.081574619095e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.509897160618e+00,5.512620545830e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.832980710832e+00,9.707512666494e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.225196770956e+00,1.669997657466e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.701338121133e+00,2.750038820633e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.279362859021e+00,4.313594846364e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.981071705535e+00,6.379129026745e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.832930238572e+00,8.902730702931e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,5.867067065993e+00,1.182822124028e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,7.122485584860e+00,1.506480936137e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,8.646535029500e+00,1.770766388916e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.049669629031e+01,1.954762876643e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.274274985703e+01,2.334884498258e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.546940765246e+01,2.832180545344e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.877950801851e+01,3.325548784906e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.279789435644e+01,3.917912241485e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.767612370754e+01,4.582552140743e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.359818286284e+01,5.314922700017e-25
