case,solver,component,band,frequency_hz,time_s,flux_mjy
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.701338121133e+00,4.524821682494e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,3.279362859021e+00,5.658759450427e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,3.981071705535e+00,6.798869417562e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,4.832930238572e+00,7.910218606941e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,5.867067065993e+00,8.977241041935e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,7.122485584860e+00,9.987766779147e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,8.646535029500e+00,1.092470520535e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.049669629031e+01,1.178738550771e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.274274985703e+01,1.258846810350e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.546940765246e+01,1.331575712325e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.877950801851e+01,1.398896111299e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.279789435644e+01,1.460144143909e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.767612370754e+01,1.515678829955e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,3.359818286284e+01,1.565637312318e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,4.078742758969e+01,1.611930703641e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,4.951500669473e+01,1.654197046666e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,6.011008864406e+01,1.693539692446e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,7.297227644686e+01,1.730566659590e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,8.858667904101e+01,1.765460110004e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.075422076113e+02,1.799202455464e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.305537869023e+02,1.832899431277e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.584893192461e+02,1.866803578969e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.924024182760e+02,1.901054444859e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.335721469090e+02,1.936830977703e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.835512583497e+02,1.973831745724e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,3.442247595686e+02,2.012487805071e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,4.178810060294e+02,2.053823458961e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,5.072980090654e+02,2.097660495685e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,6.158482110660e+02,2.145204627558e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,7.476256801638e+02,2.197099339171e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,9.076005216818e+02,2.251861980145e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.101806330110e+03,2.308768276185e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.337567751526e+03,2.368734031626e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.623776739189e+03,2.433050410672e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.971227921518e+03,2.501734101905e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.393025731180e+03,2.573023007296e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.905078650511e+03,2.642073294875e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,3.526699214175e+03,2.706566391397e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,4.281332398719e+03,2.768112478444e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,5.197439870872e+03,2.823224488332e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,6.309573444802e+03,2.863629000641e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,7.659678234752e+03,2.876505584808e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,9.298674652605e+03,2.838515234759e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.128837891685e+04,2.717172500380e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.370383450663e+04,2.500440021144e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.663614249384e+04,2.191064289613e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.019589750164e+04,1.819979846984e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.451735887979e+04,1.432414388363e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.976351441631e+04,1.072039499217e-24
nojump,fullhide_1d,total,R band,4.560000000000e+14,3.613222756796e+04,7.637307036292e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,4.386370005780e+04,5.274142533573e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,5.324953129838e+04,3.582446170225e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,6.464371632490e+04,2.414985202151e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,7.847599703515e+04,1.623745458289e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,9.526807029020e+04,1.093625831176e-25
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.156532641790e+05,7.373452773675e-26
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.404004245548e+05,4.988228584540e-26
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.704429127453e+05,3.392518640464e-26
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.069138081115e+05,2.314453072187e-26
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.511886431510e+05,1.585215701328e-26
nojump,fullhide_1d,total,R band,4.560000000000e+14,3.049372829387e+05,1.091407747070e-26
nojump,fullhide_1d,total,R band,4.560000000000e+14,3.701869055846e+05,7.544816320097e-27
nojump,fullhide_1d,total,R band,4.560000000000e+14,4.493984590722e+05,5.221023920878e-27
nojump,fullhide_1d,total,R band,4.560000000000e+14,5.455594781169e+05,3.623591496534e-27
nojump,fullhide_1d,total,R band,4.560000000000e+14,6.622967617148e+05,2.526951808377e-27
nojump,fullhide_1d,total,R band,4.560000000000e+14,8.040131611168e+05,1.773032737270e-27
nojump,fullhide_1d,total,R band,4.560000000000e+14,9.760536373079e+05,1.251509477716e-27
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.184906851001e+06,8.858698913816e-28
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.438449888288e+06,6.287403600490e-28
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.746245352002e+06,4.474331253902e-28
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.119902023850e+06,3.190129243362e-28
nojump,fullhide_1d,total,R band,4.560000000000e+14,2.573512700017e+06,2.279496512878e-28
nojump,fullhide_1d,total,R band,4.560000000000e+14,3.124185713603e+06,1.639482006700e-28
nojump,fullhide_1d,total,R band,4.560000000000e+14,3.792690190732e+06,1.188847834701e-28
nojump,fullhide_1d,total,R band,4.560000000000e+14,4.604239376759e+06,8.643972103002e-29
nojump,fullhide_1d,total,R band,4.560000000000e+14,5.589441576403e+06,6.300128400010e-29
nojump,fullhide_1d,total,R band,4.560000000000e+14,6.785454573394e+06,4.602153911346e-29
nojump,fullhide_1d,total,R band,4.560000000000e+14,8.237387069571e+06,3.368732684235e-29
nojump,fullhide_1d,total,R band,4.560000000000e+14,1.000000000000e+07,2.470454005040e-29
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.000000000000e-01,3.678748612220e-28
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.213977189070e-01,6.128853282140e-28
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.473740615582e-01,1.052063318421e-27
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.789087489923e-01,1.859237608691e-27
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.171911402017e-01,3.351011359275e-27
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.636650898730e-01,6.119614019681e-27
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,3.200834046600e-01,1.127537449732e-26
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,3.885739518571e-01,2.102929532074e-26
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,4.717199138213e-01,3.933631883718e-26
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,5.726572150092e-01,7.330453637481e-26
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,6.951927961776e-01,1.344783243449e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,8.439481965654e-01,2.392622280071e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.024533859387e+00,4.071119943481e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.243760734726e+00,6.537071599357e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.509897160618e+00,9.828087927920e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.832980710832e+00,1.379504757001e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.225196770956e+00,1.807792305180e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.701338121133e+00,2.233156621955e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,3.279362859021e+00,2.629938164548e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,3.981071705535e+00,2.977815542722e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,4.832930238572e+00,3.269605202954e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,5.867067065993e+00,3.499400738649e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,7.122485584860e+00,3.679105798461e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,8.646535029500e+00,3.811024135227e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.049669629031e+01,3.902878122770e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.274274985703e+01,3.963256493073e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.546940765246e+01,3.983513101378e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.877950801851e+01,3.982155045134e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.279789435644e+01,3.960801102848e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.767612370754e+01,3.922745742215e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,3.359818286284e+01,3.870086622969e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,4.078742758969e+01,3.804117098832e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,4.951500669473e+01,3.718917887080e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,6.011008864406e+01,3.623907589064e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,7.297227644686e+01,3.519668029971e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,8.858667904101e+01,3.406469304564e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.075422076113e+02,3.284287363422e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.305537869023e+02,3.145791947884e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.584893192461e+02,2.985442359734e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.924024182760e+02,2.810713821860e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.335721469090e+02,2.622961904784e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.835512583497e+02,2.423220191875e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,3.442247595686e+02,2.212780027840e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,4.178810060294e+02,1.989494700107e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,5.072980090654e+02,1.754789572599e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,6.158482110660e+02,1.526057812270e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,7.476256801638e+02,1.308840796655e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,9.076005216818e+02,1.107279362874e-24
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.101806330110e+03,9.240619414234e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.337567751526e+03,7.603717910306e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.623776739189e+03,6.171851420115e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.971227921518e+03,4.962988062435e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.393025731180e+03,3.958697004187e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.905078650511e+03,3.135535079762e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,3.526699214175e+03,2.469885638648e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,4.281332398719e+03,1.936487215893e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,5.197439870872e+03,1.509808383777e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,6.309573444802e+03,1.166925089334e-25
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,7.659678234752e+03,8.866282354548e-26
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,9.298674652605e+03,6.533898876952e-26
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.128837891685e+04,4.608905577816e-26
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.370383450663e+04,3.101239176032e-26
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.663614249384e+04,2.008818070506e-26
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.019589750164e+04,1.272596970511e-26
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.451735887979e+04,7.993549107446e-27
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.976351441631e+04,5.023029674406e-27
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,3.613222756796e+04,3.171760961190e-27
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,4.386370005780e+04,2.016288677107e-27
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,5.324953129838e+04,1.290561667197e-27
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,6.464371632490e+04,8.315151585815e-28
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,7.847599703515e+04,5.389680985276e-28
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,9.526807029020e+04,3.517580303184e-28
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.156532641790e+05,2.307285136846e-28
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.404004245548e+05,1.521432762972e-28
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.704429127453e+05,1.009081094310e-28
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.069138081115e+05,6.709308475455e-29
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.511886431510e+05,4.479039500862e-29
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,3.049372829387e+05,3.005926952713e-29
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,3.701869055846e+05,2.025308749834e-29
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,4.493984590722e+05,1.366894018405e-29
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,5.455594781169e+05,9.251863327041e-30
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,6.622967617148e+05,6.290898064169e-30
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,8.040131611168e+05,4.300644017896e-30
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,9.760536373079e+05,2.957381861094e-30
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.184906851001e+06,2.038613980107e-30
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.438449888288e+06,1.408478007539e-30
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,1.746245352002e+06,9.752498519572e-31
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.119902023850e+06,6.766803155073e-31
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,2.573512700017e+06,4.704437431713e-31
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,3.124185713603e+06,3.291526943928e-31
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,3.792690190732e+06,2.322201695967e-31
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,4.604239376759e+06,1.641681072962e-31
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,5.589441576403e+06,1.163115772449e-31
nojump,fullhide_1d,total,1 keV,2.417989242000e+17,6.785454573394e+06,8.258578719242e-32
