scenario,solver,component,band,frequency_hz,time_s,flux_mjy
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,5.589441576403e+06,6.008784048911e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,6.785454573394e+06,4.379843886647e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,8.237387069571e+06,3.200971723715e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.000000000000e+07,2.345024624535e-29
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.000000000000e-01,3.679726498257e-28
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.213977189070e-01,6.130101781809e-28
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.473740615582e-01,1.052226451847e-27
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.789087489923e-01,1.859456877225e-27
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.171911402017e-01,3.351315220609e-27
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.636650898730e-01,6.120048741376e-27
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.200834046600e-01,1.127601670130e-26
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.885739518571e-01,2.103027700220e-26
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,4.717199138213e-01,3.933786562579e-26
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,5.726572150092e-01,7.330703981983e-26
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,6.951927961776e-01,1.344824571134e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,8.439481965654e-01,2.392683402712e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.024533859387e+00,4.071168347062e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.243760734726e+00,6.537097036438e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.509897160618e+00,9.828112870159e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.832980710832e+00,1.379511387374e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.225196770956e+00,1.807805134160e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.701338121133e+00,2.233176686730e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.279362859021e+00,2.629958870394e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.981071705535e+00,2.977832762323e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,4.832930238572e+00,3.269619999315e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,5.867067065993e+00,3.499416502096e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,7.122485584860e+00,3.679111453510e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,8.646535029500e+00,3.811024677114e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.049669629031e+01,3.902884809889e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.274274985703e+01,3.963278347896e-24
